Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,22,45.83,start/end
ebc9c10093a1255a,3,FAIL,22,61.08,"start/end, disconnected"
ed40414d615431d6,3,FAIL,24,42.86,"start/end, rules"
dce20e150e7fcced,5,FAIL,3,38.33,start/end
3fe8a85b768ae5b7,1,FAIL,23,38.83,start/end
1284a7249a4fa10f,3,FAIL,13,41.19,"start/end, disconnected"
cbeb87b359947c42,3,FAIL,8,53.18,start/end
c80d64b5c5e39d7b,5,FAIL,25,59.16,start/end
24e8876585456ee5,5,FAIL,22,33.26,start/end
196a88635b1c83b4,4,FAIL,6,33.36,None
e82bd665d710bb75,2,FAIL,11,35.34,None
c6739963a7308111,3,FAIL,17,36.38,rules
953c10f2e4d6fd6,2,FAIL,13,32.56,start/end
d91761f3ba340d,4,FAIL,27,39.03,"start/end, rules"
bc66c2e18fd6231b,3,FAIL,4,35.91,start/end
4b236c53ea5fbbdf,3,FAIL,7,37.47,start/end
5f9a92945a4ab62e,1,FAIL,4,38.36,"start/end, rules"
860fbc1cfd446f7c,3,FAIL,2,63.87,None
5b5d43da944a752d,4,PASS,10,47.21,None
971ad9f45d1bd53b,5,FAIL,4317,211.52,"start/end, rules"
5b3d4d35ac301050,2,FAIL,22,37.28,start/end
69a08c785ce5fcac,1,FAIL,3,45.98,None
a814bed4f6905ba4,5,FAIL,24,38.03,start/end
f32fe4e5b37fedaa,5,FAIL,13,45.45,start/end
3ba7fc567dd14312,3,FAIL,7,42.60,start/end
7ce0b04c1a28cca6,1,FAIL,5,35.94,None
8635ff1b1bcf0c2e,5,FAIL,42,38.41,"start/end, disconnected, intersecting, rules"
21df75919e7080e4,3,FAIL,9,48.19,rules
daa2db8c01da0bfa,5,FAIL,6,46.86,disconnected
6443d25f8c289548,3,FAIL,24,31.72,"start/end, rules"
91158b440e1d1942,5,FAIL,12,34.31,start/end
1ba6ec5d1f0c3bc6,2,FAIL,3,37.67,start/end
de0f40e0c4c5852a,4,FAIL,23,32.06,"start/end, disconnected"
7c2cc9e25acdc10f,4,FAIL,0,42.48,"start/end, disconnected, intersecting, rules"
146a216115846f70,5,FAIL,23,47.45,"start/end, disconnected"
704931925890a56c,2,FAIL,22,35.52,start/end
22c41f4911d10461,3,FAIL,8,30.57,start/end
75761871763e88e3,2,FAIL,22,39.71,start/end
fee7fa98ecbf4534,1,FAIL,7,33.86,rules
