Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,2,0.4%
Failed,498,99.6%
,,
Fully Valid Paths,54,10.8%
Connected Paths,378,75.6%
Correct Start/End,116,23.2%
Non-Intersecting,430,86.0%
No Rule Violations,340,68.0%
,,
Difficulty 1 Solved,1/86,1.2%
Difficulty 2 Solved,0/118,0.0%
Difficulty 3 Solved,0/121,0.0%
Difficulty 4 Solved,1/86,1.2%
Difficulty 5 Solved,0/89,0.0%
,,
Avg Path Length,33.4 steps,
Min Path Length,1 steps,
Max Path Length,4317 steps,
,,
Total Time,20196.1 seconds,
Avg Time per Puzzle,40.39 seconds,
Puzzles per Minute,1.5,
