Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,25,238.40,rules
ebc9c10093a1255a,3,FAIL,26,506.64,rules
ed40414d615431d6,3,FAIL,20,305.76,rules
dce20e150e7fcced,5,FAIL,37,401.62,rules
3fe8a85b768ae5b7,1,FAIL,2,464.53,None
1284a7249a4fa10f,3,FAIL,9,361.27,None
cbeb87b359947c42,3,FAIL,18,518.31,rules
c80d64b5c5e39d7b,5,FAIL,28,381.27,rules
24e8876585456ee5,5,FAIL,23,444.14,"start/end, intersecting, rules"
196a88635b1c83b4,4,FAIL,16,435.89,None
e82bd665d710bb75,2,PASS,19,482.23,None
c6739963a7308111,3,FAIL,9,373.67,None
953c10f2e4d6fd6,2,FAIL,16,419.53,rules
d91761f3ba340d,4,FAIL,14,433.62,None
bc66c2e18fd6231b,3,FAIL,15,377.75,rules
4b236c53ea5fbbdf,3,FAIL,28,454.44,rules
5f9a92945a4ab62e,1,PASS,8,595.04,None
860fbc1cfd446f7c,3,FAIL,36,364.93,rules
5b5d43da944a752d,4,PASS,10,183.67,None
971ad9f45d1bd53b,5,FAIL,19,465.44,"intersecting, rules"
5b3d4d35ac301050,2,FAIL,14,493.48,rules
69a08c785ce5fcac,1,PASS,11,264.29,None
a814bed4f6905ba4,5,FAIL,17,370.58,rules
f32fe4e5b37fedaa,5,FAIL,27,311.92,rules
3ba7fc567dd14312,3,FAIL,21,313.85,rules
7ce0b04c1a28cca6,1,FAIL,21,318.43,None
8635ff1b1bcf0c2e,5,FAIL,25,406.92,"disconnected, rules"
21df75919e7080e4,3,FAIL,13,441.99,None
daa2db8c01da0bfa,5,FAIL,13,281.34,rules
6443d25f8c289548,3,FAIL,25,323.55,"disconnected, rules"
91158b440e1d1942,5,FAIL,12,357.98,rules
1ba6ec5d1f0c3bc6,2,FAIL,18,312.50,None
de0f40e0c4c5852a,4,FAIL,12,270.05,"start/end, rules"
7c2cc9e25acdc10f,4,FAIL,30,295.13,rules
146a216115846f70,5,FAIL,16,356.27,rules
704931925890a56c,2,FAIL,12,238.10,rules
22c41f4911d10461,3,FAIL,27,412.82,"disconnected, intersecting, rules"
75761871763e88e3,2,FAIL,25,219.15,rules
fee7fa98ecbf4534,1,PASS,7,242.54,None
3abef01e5d890e13,4,FAIL,22,505.22,"intersecting, rules"
a71c3513799bf094,2,FAIL,35,412.88,"intersecting, rules"
3b229c1d0453a603,3,FAIL,11,444.55,None
ba867d9c182c1124,1,FAIL,16,379.05,rules
22ee8177bb6b927d,4,FAIL,26,315.06,rules
200a2fdec77f69b6,1,FAIL,10,233.26,rules
4c7b5bd02c9270d,3,FAIL,9,373.44,None
efb560f2141edf82,1,FAIL,14,329.12,None
