Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,347.89,rules
ebc9c10093a1255a,3,FAIL,26,319.75,None
ed40414d615431d6,3,FAIL,10,174.16,None
dce20e150e7fcced,5,FAIL,31,295.94,None
3fe8a85b768ae5b7,1,FAIL,30,315.92,"intersecting, rules"
1284a7249a4fa10f,3,FAIL,17,336.43,None
cbeb87b359947c42,3,FAIL,10,162.53,None
c80d64b5c5e39d7b,5,FAIL,26,203.61,None
24e8876585456ee5,5,FAIL,23,319.13,intersecting
196a88635b1c83b4,4,FAIL,18,295.96,None
e82bd665d710bb75,2,PASS,19,244.96,None
c6739963a7308111,3,PASS,9,170.02,None
953c10f2e4d6fd6,2,FAIL,12,229.64,None
d91761f3ba340d,4,FAIL,14,180.29,None
bc66c2e18fd6231b,3,FAIL,9,173.90,None
4b236c53ea5fbbdf,3,FAIL,6,292.53,None
5f9a92945a4ab62e,1,FAIL,8,89.06,None
860fbc1cfd446f7c,3,FAIL,22,372.06,"intersecting, rules"
5b5d43da944a752d,4,FAIL,14,267.31,None
971ad9f45d1bd53b,5,FAIL,21,352.93,"intersecting, rules"
5b3d4d35ac301050,2,PASS,12,118.47,None
69a08c785ce5fcac,1,PASS,7,99.54,None
a814bed4f6905ba4,5,FAIL,15,198.48,None
f32fe4e5b37fedaa,5,FAIL,27,255.07,None
3ba7fc567dd14312,3,FAIL,17,168.25,None
7ce0b04c1a28cca6,1,FAIL,22,362.93,"disconnected, intersecting"
8635ff1b1bcf0c2e,5,FAIL,24,294.87,"intersecting, rules"
21df75919e7080e4,3,PASS,9,91.30,None
daa2db8c01da0bfa,5,FAIL,15,210.82,None
6443d25f8c289548,3,FAIL,4,169.27,None
91158b440e1d1942,5,FAIL,14,265.37,None
1ba6ec5d1f0c3bc6,2,FAIL,18,243.32,None
de0f40e0c4c5852a,4,FAIL,8,347.02,None
7c2cc9e25acdc10f,4,FAIL,28,213.21,None
146a216115846f70,5,FAIL,12,212.58,None
704931925890a56c,2,FAIL,18,167.50,None
22c41f4911d10461,3,FAIL,18,272.91,None
75761871763e88e3,2,FAIL,11,165.59,None
fee7fa98ecbf4534,1,PASS,7,101.15,None
3abef01e5d890e13,4,PASS,16,176.42,None
a71c3513799bf094,2,FAIL,3,1427.65,None
3b229c1d0453a603,3,FAIL,27,276.20,None
ba867d9c182c1124,1,FAIL,6,89.31,None
22ee8177bb6b927d,4,FAIL,24,337.98,intersecting
200a2fdec77f69b6,1,PASS,10,113.83,None
4c7b5bd02c9270d,3,FAIL,9,158.62,None
efb560f2141edf82,1,PASS,4,126.19,None
b7b817f9033f188,5,FAIL,18,234.57,rules
4cc3d963aecb0aec,3,FAIL,12,183.69,None
6a4a59d9017e80e2,4,FAIL,5,131.60,None
a483b2ad65b79823,4,FAIL,15,123.26,None
c611d73335c05ea3,3,FAIL,16,240.85,None
9fc7d6795a3be635,2,PASS,11,132.00,None
9b4f3b36495c1615,3,FAIL,11,124.08,None
1b62c846b90e5d1d,3,FAIL,13,172.29,None
934d99322aa22dff,1,PASS,17,109.57,None
cd5b6b24c51fb69a,2,FAIL,19,269.64,None
bb9d7db6f55f1f1e,4,FAIL,25,306.69,intersecting
d1e03bb313e747a9,1,PASS,16,214.22,None
e1b6f8b19d2f4176,2,FAIL,19,211.59,None
c09ea70a605760d3,1,PASS,21,142.99,None
58a0f5bca3ff514c,5,FAIL,29,341.04,None
625730bf3883005c,4,FAIL,13,208.81,None
8211b75bfb0c714d,1,FAIL,12,89.49,None
12adf37a767b56ea,2,FAIL,17,200.44,None
4582b19904d9a029,1,PASS,12,177.64,None
62035ff8ad16cb71,2,FAIL,43,313.54,"intersecting, rules"
5c3f4379847796c4,4,FAIL,21,231.22,None
bc71d833fad658fb,1,PASS,18,144.13,None
77da6edaa689f44a,2,FAIL,15,265.00,None
7326259652efbc9d,4,FAIL,21,182.63,None
85f95e3fbcd76abb,3,FAIL,32,175.71,None
bb667cb09578b4a3,5,FAIL,17,272.02,None
ad8f394763490f26,3,FAIL,4,237.61,None
3d1c8a00f582892,3,FAIL,11,231.90,None
b10c07139b1aa490,1,PASS,15,142.65,None
5d259263ec5a5c9e,4,FAIL,10,235.50,None
62d5ef592f8f91fc,3,FAIL,11,312.25,None
be49f0eca3cd4c32,1,PASS,24,172.37,None
220246750ec56ccb,2,FAIL,4,118.51,None
f425a63fc423ced0,3,FAIL,7,120.43,None
b3e3c52cd5223942,5,FAIL,27,331.88,disconnected
ce576f59fcd8e5b5,4,FAIL,16,338.94,None
d71204c97803d9a,4,FAIL,15,187.58,None
cc4ff7682e293a1b,2,PASS,12,119.37,None
b25e33c50909fc03,2,FAIL,8,93.66,None
f271fc95525040b1,5,FAIL,16,180.95,None
9390c84b6360b4bb,1,PASS,17,116.02,None
a454bd9c3ad0168a,5,FAIL,36,223.24,disconnected
db130c08db23e907,1,PASS,28,155.74,None
5c59a67541d92c71,5,FAIL,33,206.44,None
745deea1055373eb,3,FAIL,16,406.54,disconnected
440d97e917325fb0,3,FAIL,11,172.82,None
dbd181183bb9f775,4,FAIL,21,317.22,disconnected
fef8e390bd7a2a7a,5,FAIL,25,268.09,None
3987c3fc8d33089e,3,FAIL,22,330.16,None
851365be4fc5c5e,2,PASS,2,122.05,None
e20e6b6a00158bdc,5,FAIL,18,321.97,rules
841b2d97bb365b8b,4,FAIL,36,330.12,None
b4d66071dc728f44,2,PASS,20,229.46,None
1e7c5367fa438e3b,5,FAIL,16,160.80,None
b8eb6f7dd1cc9b86,1,PASS,16,155.37,None
1796837aa68c2b76,3,FAIL,15,250.91,disconnected
598f03a76e659bbd,3,FAIL,13,343.98,disconnected
a8ea92dd47f4186b,2,FAIL,22,382.95,None
a305fe218d16e612,4,FAIL,16,313.59,None
d58e426a05bbebe0,4,FAIL,17,193.85,None
95baf8b98ab6874,5,FAIL,9,165.36,None
d72e6e1a7317b676,4,FAIL,16,237.28,None
b2888d9633744522,3,FAIL,11,252.44,None
fb69acc1bff1c7b5,2,PASS,17,243.90,None
1b23ec5dcd81c575,2,FAIL,21,249.63,None
dedb9695c830d9a1,5,FAIL,15,188.92,None
94e6829bc5fe599b,4,FAIL,9,335.45,"start/end, rules"
7f61e30cde11dfd2,5,FAIL,18,164.25,None
ac07176ade6d4fcc,2,FAIL,27,266.86,None
aecb916b87a88a32,3,FAIL,20,181.51,None
6a3a112c0f2e831b,5,FAIL,15,243.90,None
e836ae53a1a6b880,5,FAIL,12,243.26,None
58d9c6f1f97d78c1,2,FAIL,23,171.70,None
10bea253035c791c,2,FAIL,21,350.61,"disconnected, intersecting, rules"
5569f16359d15a33,5,FAIL,41,278.29,None
d4af13ed1d455209,1,PASS,16,287.91,None
4efa50053369c63c,3,FAIL,14,209.41,None
4088920d22fbc15a,2,FAIL,15,204.31,None
9ecc1e98360e6c0d,3,FAIL,15,182.88,None
8b47902d43ed5c7,3,FAIL,13,177.12,None
6911f7c1419318bb,4,FAIL,15,119.00,None
ed62498f9a7cf7a5,4,FAIL,14,243.78,None
4b518615758126ef,3,FAIL,11,216.20,None
a2a967199664a80,4,FAIL,26,326.55,rules
93c544fa7b73dc1a,4,FAIL,27,340.07,intersecting
b54da7bdff2713e1,2,FAIL,17,237.06,None
2c5ddc804e5b35ba,1,PASS,17,226.03,None
241a28965ab741d,1,FAIL,7,116.82,start/end
4a5c32111bf61aae,5,FAIL,19,241.68,None
65171c970b77339e,2,PASS,18,260.80,None
70c971586d6ab721,1,PASS,17,223.04,None
dd196820fff0f585,2,FAIL,13,386.28,disconnected
683d3d2b64d8d1fb,4,FAIL,16,268.12,None
3ca9fa7e19e2188c,4,FAIL,15,158.80,None
581706995f65f93d,5,FAIL,32,291.01,None
8f5dd8ca7b23f826,4,FAIL,2,92.06,None
4c6a9d610b717d17,3,FAIL,17,164.31,None
f701ba6827f8ceff,2,PASS,28,235.80,None
24dd9a735b612dc1,3,FAIL,14,225.61,disconnected
138e21433d2e6a52,2,PASS,19,121.67,None
72a1fec5c73b6560,4,FAIL,21,260.64,None
86c16115d5cda6a0,5,FAIL,38,316.64,intersecting
2790e863a5831db9,3,FAIL,16,294.72,None
ab298046d34718be,5,FAIL,12,221.91,None
ad8274727f965b1c,1,PASS,25,166.37,None
a722e79130881da0,2,PASS,19,174.89,None
9435f4bc2b1cf34d,1,PASS,21,143.01,None
2e4b26ec1c401cbe,4,FAIL,8,160.62,None
8b308dfba88e4ac,3,FAIL,24,197.01,None
701d6d1daff25a25,2,FAIL,9,96.83,None
