Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,86,17.2%
Failed,414,82.8%
,,
Fully Valid Paths,408,81.6%
Connected Paths,466,93.2%
Correct Start/End,492,98.4%
Non-Intersecting,461,92.2%
No Rule Violations,455,91.0%
,,
Difficulty 1 Solved,46/86,53.5%
Difficulty 2 Solved,28/118,23.7%
Difficulty 3 Solved,10/121,8.3%
Difficulty 4 Solved,1/86,1.2%
Difficulty 5 Solved,1/89,1.1%
,,
Avg Path Length,16.7 steps,
Min Path Length,2 steps,
Max Path Length,44 steps,
,,
Total Time,119746.0 seconds,
Avg Time per Puzzle,239.49 seconds,
Puzzles per Minute,0.3,
