Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,11,2.2%
Failed,489,97.8%
,,
Fully Valid Paths,73,14.6%
Connected Paths,370,74.0%
Correct Start/End,462,92.4%
Non-Intersecting,374,74.8%
No Rule Violations,88,17.6%
,,
Difficulty 1 Solved,4/86,4.7%
Difficulty 2 Solved,2/118,1.7%
Difficulty 3 Solved,3/121,2.5%
Difficulty 4 Solved,2/86,2.3%
Difficulty 5 Solved,0/89,0.0%
,,
Avg Path Length,18.0 steps,
Min Path Length,1 steps,
Max Path Length,66 steps,
,,
Total Time,9647.2 seconds,
Avg Time per Puzzle,19.29 seconds,
Puzzles per Minute,3.1,
