Metric,Qwen_Qwen3-0.6B,Qwen_Qwen3-1.7B,Qwen_Qwen3-14B,Qwen_Qwen3-32B,google_gemma-3-27b-it,lkaesberg_Qwen3-0.6B-SPaRC-GRPO,lkaesberg_Qwen3-14B-SPaRC-GRPO,lkaesberg_Qwen3-4B-SPaRC-GRPO,qwen_qwen3-4b,qwen_qwen3-8b
Avg Path Length,33.4 steps,73.0 steps,18.9 steps,19.3 steps,18.0 steps,18.8 steps,12.8 steps,9.5 steps,34.2 steps,18.3 steps
Avg Time per Puzzle,40.39 seconds,56.61 seconds,195.46 seconds,390.58 seconds,19.29 seconds,19.02 seconds,78.28 seconds,45.80 seconds,135.24 seconds,151.64 seconds
Connected Paths,378,389,450,461,370,472,493,498,410,428
Correct Start/End,116,213,495,491,462,475,499,498,451,492
Correctly Solved,2,2,63,35,11,15,51,31,39,50
Difficulty 1 Solved,1/86,1/86,38/86,25/86,4/86,3/86,28/86,15/86,23/86,32/86
Difficulty 2 Solved,0/118,0/118,16/118,9/118,2/118,7/118,15/118,9/118,11/118,14/118
Difficulty 3 Solved,0/121,1/121,7/121,0/121,3/121,4/121,5/121,4/121,4/121,3/121
Difficulty 4 Solved,1/86,0/86,1/86,1/86,2/86,0/86,3/86,2/86,1/86,1/86
Difficulty 5 Solved,0/89,0/89,1/89,0/89,0/89,1/89,0/89,1/89,0/89,0/89
Failed,498,498,437,465,489,485,449,469,461,450
Fully Valid Paths,54,87,308,158,73,396,475,495,291,308
Max Path Length,4317 steps,6574 steps,110 steps,46 steps,66 steps,4439 steps,45 steps,35 steps,4610 steps,82 steps
Min Path Length,1 steps,1 steps,2 steps,2 steps,1 steps,2 steps,2 steps,2 steps,2 steps,2 steps
No Rule Violations,340,291,357,173,88,409,487,499,402,393
Non-Intersecting,430,404,420,447,374,474,489,500,420,419
Puzzles per Minute,1.5,1.1,0.3,0.2,3.1,3.2,0.8,1.3,0.4,0.4
Total Puzzles Processed,500,500,500,500,500,500,500,500,500,500
Total Time,20196.1 seconds,28304.0 seconds,97730.1 seconds,195289.3 seconds,9647.2 seconds,9510.2 seconds,39140.3 seconds,22901.3 seconds,67618.8 seconds,75818.7 seconds
