Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,44.22,None
ebc9c10093a1255a,3,FAIL,8,25.75,None
ed40414d615431d6,3,FAIL,6,21.27,None
dce20e150e7fcced,5,FAIL,19,25.10,None
3fe8a85b768ae5b7,1,FAIL,2,19.56,None
1284a7249a4fa10f,3,FAIL,5,12.99,None
cbeb87b359947c42,3,FAIL,10,23.64,None
c80d64b5c5e39d7b,5,FAIL,8,22.97,None
24e8876585456ee5,5,FAIL,5,25.16,None
196a88635b1c83b4,4,FAIL,6,15.86,None
e82bd665d710bb75,2,FAIL,11,45.85,None
c6739963a7308111,3,PASS,9,23.19,None
953c10f2e4d6fd6,2,PASS,2,18.37,None
d91761f3ba340d,4,FAIL,20,34.20,None
bc66c2e18fd6231b,3,FAIL,9,28.30,rules
4b236c53ea5fbbdf,3,FAIL,6,23.51,None
5f9a92945a4ab62e,1,FAIL,10,20.72,None
860fbc1cfd446f7c,3,FAIL,2,19.65,None
5b5d43da944a752d,4,FAIL,0,17.16,"start/end, disconnected, intersecting, rules"
971ad9f45d1bd53b,5,FAIL,9,25.80,None
5b3d4d35ac301050,2,FAIL,12,21.47,None
69a08c785ce5fcac,1,FAIL,3,9.35,None
a814bed4f6905ba4,5,FAIL,15,18.45,None
f32fe4e5b37fedaa,5,FAIL,7,29.96,None
3ba7fc567dd14312,3,FAIL,9,29.72,rules
7ce0b04c1a28cca6,1,FAIL,17,15.75,None
8635ff1b1bcf0c2e,5,FAIL,24,22.66,None
21df75919e7080e4,3,FAIL,9,13.34,None
daa2db8c01da0bfa,5,FAIL,11,26.58,None
6443d25f8c289548,3,FAIL,4,34.05,None
91158b440e1d1942,5,FAIL,10,22.72,None
1ba6ec5d1f0c3bc6,2,FAIL,12,36.33,None
de0f40e0c4c5852a,4,FAIL,24,42.13,None
7c2cc9e25acdc10f,4,FAIL,10,32.35,None
146a216115846f70,5,FAIL,12,26.46,rules
704931925890a56c,2,FAIL,4,19.11,None
22c41f4911d10461,3,FAIL,14,43.62,None
75761871763e88e3,2,FAIL,11,27.97,None
fee7fa98ecbf4534,1,PASS,7,15.93,None
3abef01e5d890e13,4,FAIL,16,38.96,rules
a71c3513799bf094,2,FAIL,3,24.84,None
3b229c1d0453a603,3,FAIL,3,10.14,None
ba867d9c182c1124,1,FAIL,6,15.87,None
22ee8177bb6b927d,4,FAIL,12,30.95,None
200a2fdec77f69b6,1,FAIL,8,10.03,rules
4c7b5bd02c9270d,3,FAIL,9,17.60,None
efb560f2141edf82,1,PASS,4,17.00,None
b7b817f9033f188,5,FAIL,12,30.54,None
4cc3d963aecb0aec,3,FAIL,14,34.25,None
6a4a59d9017e80e2,4,FAIL,5,26.81,None
a483b2ad65b79823,4,FAIL,15,46.03,rules
c611d73335c05ea3,3,FAIL,2,206.74,disconnected
