Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,58.38,None
ebc9c10093a1255a,3,FAIL,8,11.19,None
ed40414d615431d6,3,FAIL,6,17.16,None
dce20e150e7fcced,5,FAIL,19,25.85,None
3fe8a85b768ae5b7,1,FAIL,2,5.22,None
1284a7249a4fa10f,3,FAIL,5,3.88,None
cbeb87b359947c42,3,FAIL,10,22.32,None
c80d64b5c5e39d7b,5,FAIL,8,3.81,None
24e8876585456ee5,5,FAIL,5,3.45,None
196a88635b1c83b4,4,FAIL,6,3.53,None
e82bd665d710bb75,2,FAIL,11,32.80,None
c6739963a7308111,3,PASS,9,18.37,None
953c10f2e4d6fd6,2,PASS,2,2.97,None
d91761f3ba340d,4,FAIL,20,58.32,None
bc66c2e18fd6231b,3,FAIL,9,15.35,None
4b236c53ea5fbbdf,3,FAIL,6,3.44,None
5f9a92945a4ab62e,1,FAIL,10,8.35,None
860fbc1cfd446f7c,3,FAIL,2,5.75,None
5b5d43da944a752d,4,PASS,10,15.95,None
971ad9f45d1bd53b,5,FAIL,9,26.85,None
5b3d4d35ac301050,2,FAIL,3,12.00,disconnected
69a08c785ce5fcac,1,FAIL,3,2.07,None
a814bed4f6905ba4,5,FAIL,15,38.43,None
f32fe4e5b37fedaa,5,FAIL,11,15.64,None
3ba7fc567dd14312,3,FAIL,21,40.10,None
7ce0b04c1a28cca6,1,FAIL,5,1.98,None
8635ff1b1bcf0c2e,5,FAIL,24,51.78,None
21df75919e7080e4,3,FAIL,9,31.24,None
daa2db8c01da0bfa,5,FAIL,11,35.07,None
6443d25f8c289548,3,FAIL,4,3.11,None
91158b440e1d1942,5,FAIL,10,38.65,rules
1ba6ec5d1f0c3bc6,2,FAIL,18,56.33,None
de0f40e0c4c5852a,4,FAIL,6,24.39,None
7c2cc9e25acdc10f,4,FAIL,10,65.92,None
146a216115846f70,5,FAIL,16,27.53,None
704931925890a56c,2,FAIL,4,57.06,rules
22c41f4911d10461,3,FAIL,14,60.73,None
75761871763e88e3,2,FAIL,11,54.47,None
fee7fa98ecbf4534,1,FAIL,7,21.41,None
3abef01e5d890e13,4,FAIL,18,56.76,None
a71c3513799bf094,2,FAIL,3,3.65,None
3b229c1d0453a603,3,FAIL,3,1.64,None
ba867d9c182c1124,1,FAIL,6,5.44,None
22ee8177bb6b927d,4,FAIL,12,2.26,None
200a2fdec77f69b6,1,FAIL,8,9.71,None
4c7b5bd02c9270d,3,FAIL,0,2.09,"start/end, disconnected, intersecting, rules"
efb560f2141edf82,1,PASS,4,4.33,None
b7b817f9033f188,5,FAIL,12,16.33,None
4cc3d963aecb0aec,3,FAIL,14,38.28,None
6a4a59d9017e80e2,4,FAIL,5,1.41,None
a483b2ad65b79823,4,FAIL,15,71.57,None
c611d73335c05ea3,3,FAIL,12,33.14,None
9fc7d6795a3be635,2,PASS,11,30.46,None
9b4f3b36495c1615,3,FAIL,11,58.53,None
1b62c846b90e5d1d,3,FAIL,13,15.99,None
934d99322aa22dff,1,FAIL,3,1.44,None
cd5b6b24c51fb69a,2,FAIL,11,19.33,None
bb9d7db6f55f1f1e,4,FAIL,11,8.48,None
d1e03bb313e747a9,1,FAIL,6,12.59,None
e1b6f8b19d2f4176,2,FAIL,11,4.12,None
c09ea70a605760d3,1,FAIL,5,1.52,None
58a0f5bca3ff514c,5,FAIL,17,40.25,None
625730bf3883005c,4,FAIL,13,53.43,None
8211b75bfb0c714d,1,FAIL,6,31.48,None
12adf37a767b56ea,2,FAIL,5,3.47,None
4582b19904d9a029,1,FAIL,10,38.82,rules
62035ff8ad16cb71,2,FAIL,11,2.14,None
5c3f4379847796c4,4,FAIL,9,3.33,None
bc71d833fad658fb,1,FAIL,4,2.83,None
77da6edaa689f44a,2,FAIL,7,3.77,None
7326259652efbc9d,4,FAIL,9,12.90,None
85f95e3fbcd76abb,3,FAIL,2,2.65,None
bb667cb09578b4a3,5,FAIL,9,2.96,None
ad8f394763490f26,3,FAIL,4,3.61,None
3d1c8a00f582892,3,FAIL,13,25.42,None
b10c07139b1aa490,1,FAIL,13,40.22,None
5d259263ec5a5c9e,4,FAIL,12,32.19,None
62d5ef592f8f91fc,3,FAIL,7,2.63,None
be49f0eca3cd4c32,1,FAIL,6,6.74,None
220246750ec56ccb,2,FAIL,4,2.05,None
f425a63fc423ced0,3,FAIL,11,24.48,None
b3e3c52cd5223942,5,FAIL,8,2.33,None
ce576f59fcd8e5b5,4,FAIL,16,25.04,None
d71204c97803d9a,4,FAIL,15,40.83,None
cc4ff7682e293a1b,2,PASS,12,18.39,None
b25e33c50909fc03,2,FAIL,8,3.06,None
f271fc95525040b1,5,FAIL,14,14.65,None
9390c84b6360b4bb,1,FAIL,0,3.82,"start/end, disconnected, intersecting, rules"
a454bd9c3ad0168a,5,FAIL,7,12.93,None
db130c08db23e907,1,FAIL,10,2.12,None
5c59a67541d92c71,5,FAIL,9,20.29,None
745deea1055373eb,3,FAIL,17,46.15,None
440d97e917325fb0,3,PASS,7,2.48,None
dbd181183bb9f775,4,FAIL,16,8.26,None
fef8e390bd7a2a7a,5,FAIL,17,15.04,None
3987c3fc8d33089e,3,FAIL,12,11.46,rules
851365be4fc5c5e,2,PASS,2,0.99,None
e20e6b6a00158bdc,5,FAIL,16,49.47,None
841b2d97bb365b8b,4,FAIL,12,16.21,None
b4d66071dc728f44,2,FAIL,12,8.95,None
1e7c5367fa438e3b,5,FAIL,16,2.99,None
b8eb6f7dd1cc9b86,1,FAIL,6,2.54,None
1796837aa68c2b76,3,FAIL,12,2.00,None
598f03a76e659bbd,3,FAIL,16,23.42,None
a8ea92dd47f4186b,2,FAIL,14,3.81,None
a305fe218d16e612,4,FAIL,10,16.23,None
d58e426a05bbebe0,4,FAIL,9,12.45,rules
95baf8b98ab6874,5,FAIL,5,23.03,None
d72e6e1a7317b676,4,FAIL,6,4.33,None
b2888d9633744522,3,FAIL,0,40.50,"start/end, disconnected, intersecting, rules"
fb69acc1bff1c7b5,2,FAIL,5,2.49,None
1b23ec5dcd81c575,2,FAIL,9,2.76,None
dedb9695c830d9a1,5,FAIL,11,3.31,None
94e6829bc5fe599b,4,FAIL,3,2.54,None
7f61e30cde11dfd2,5,FAIL,8,41.71,None
ac07176ade6d4fcc,2,FAIL,3,1.62,None
aecb916b87a88a32,3,FAIL,2,1.98,None
6a3a112c0f2e831b,5,FAIL,0,32.26,"start/end, disconnected, intersecting, rules"
e836ae53a1a6b880,5,FAIL,0,9.33,"start/end, disconnected, intersecting, rules"
58d9c6f1f97d78c1,2,FAIL,7,14.66,None
10bea253035c791c,2,FAIL,17,39.56,None
5569f16359d15a33,5,FAIL,23,35.86,None
d4af13ed1d455209,1,FAIL,4,26.90,disconnected
4efa50053369c63c,3,FAIL,8,10.81,None
4088920d22fbc15a,2,FAIL,15,38.85,None
9ecc1e98360e6c0d,3,FAIL,25,92.72,rules
8b47902d43ed5c7,3,FAIL,7,2.82,rules
6911f7c1419318bb,4,FAIL,0,11.00,"start/end, disconnected, intersecting, rules"
ed62498f9a7cf7a5,4,FAIL,14,35.15,None
4b518615758126ef,3,FAIL,7,2.38,None
a2a967199664a80,4,FAIL,6,2.22,None
93c544fa7b73dc1a,4,FAIL,9,13.05,None
b54da7bdff2713e1,2,FAIL,5,5.52,None
2c5ddc804e5b35ba,1,FAIL,11,29.05,None
241a28965ab741d,1,FAIL,3,1.66,None
4a5c32111bf61aae,5,FAIL,3,51.49,None
65171c970b77339e,2,FAIL,4,5.33,None
70c971586d6ab721,1,FAIL,9,22.13,None
dd196820fff0f585,2,FAIL,6,24.63,rules
683d3d2b64d8d1fb,4,FAIL,14,2.43,None
3ca9fa7e19e2188c,4,FAIL,2,4.84,disconnected
581706995f65f93d,5,FAIL,2,4.30,None
8f5dd8ca7b23f826,4,FAIL,2,1.35,None
4c6a9d610b717d17,3,FAIL,17,27.86,None
f701ba6827f8ceff,2,FAIL,2,1.32,None
24dd9a735b612dc1,3,FAIL,11,20.97,None
138e21433d2e6a52,2,FAIL,7,13.78,None
72a1fec5c73b6560,4,FAIL,3,2.81,None
86c16115d5cda6a0,5,FAIL,12,5.43,None
2790e863a5831db9,3,FAIL,14,21.76,None
ab298046d34718be,5,FAIL,8,28.27,None
ad8274727f965b1c,1,FAIL,5,2.77,None
a722e79130881da0,2,FAIL,11,22.13,None
9435f4bc2b1cf34d,1,FAIL,5,3.00,None
2e4b26ec1c401cbe,4,FAIL,8,5.47,None
8b308dfba88e4ac,3,FAIL,2,1.80,None
701d6d1daff25a25,2,FAIL,21,38.93,None
f42b8d86bfb89096,1,FAIL,4,9.58,rules
c4341ab9fd5c439c,1,FAIL,5,4.44,None
97be11048bb04a30,3,FAIL,8,7.15,None
7f403db698db059f,1,FAIL,8,42.89,rules
9e892fbdd6f4c4a9,2,FAIL,6,11.37,None
b7672ba95aff4ff6,5,FAIL,13,10.81,None
e0e6857dd441101b,2,FAIL,11,46.66,None
a12c7a055e6395a2,2,FAIL,5,3.76,None
e8f814f726cb4612,5,FAIL,8,34.33,None
fc19c4a5e89d29f4,4,FAIL,21,31.85,None
4ec9d16a5a573d4e,2,FAIL,2,2.36,None
8bbb1046d8c49095,1,FAIL,3,1.64,None
8e231f18dc7d476f,5,FAIL,16,23.97,None
50ed62dcb0f1bce3,4,FAIL,4,11.87,disconnected
154515f7b4e4fe2b,2,PASS,3,1.63,None
1a43bd0f8e35bd1d,2,FAIL,10,11.43,"disconnected, intersecting"
281ee792644831c5,2,FAIL,15,23.37,None
c881c033239a38de,3,FAIL,10,7.03,None
a92cdc81d7a94775,5,FAIL,17,37.92,None
9283bfdf68bc92a8,2,FAIL,14,24.06,rules
b7cbcba402c57078,2,FAIL,17,47.40,None
11846421c28ce2aa,4,FAIL,14,35.85,None
2a0e2b1240764998,4,FAIL,15,43.27,None
577d6771b88eca36,3,FAIL,15,7.45,None
9c31840855436adc,5,FAIL,12,40.61,rules
495da6f2a1c1f750,5,FAIL,4,4.10,None
544628c3b3077982,5,FAIL,12,30.59,None
95bd7bebb5849554,2,FAIL,2,1.55,None
5daa7098e5e15b8a,3,FAIL,10,2.43,None
