Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,19,3.8%
Failed,481,96.2%
,,
Fully Valid Paths,434,86.8%
Connected Paths,471,94.2%
Correct Start/End,482,96.4%
Non-Intersecting,479,95.8%
No Rule Violations,445,89.0%
,,
Difficulty 1 Solved,3/86,3.5%
Difficulty 2 Solved,8/118,6.8%
Difficulty 3 Solved,5/121,4.1%
Difficulty 4 Solved,2/86,2.3%
Difficulty 5 Solved,1/89,1.1%
,,
Avg Path Length,9.4 steps,
Min Path Length,2 steps,
Max Path Length,29 steps,
,,
Total Time,9038.8 seconds,
Avg Time per Puzzle,18.08 seconds,
Puzzles per Minute,3.3,
