Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,34.50,None
ebc9c10093a1255a,3,FAIL,8,31.71,None
ed40414d615431d6,3,FAIL,6,21.83,None
dce20e150e7fcced,5,FAIL,19,37.82,None
3fe8a85b768ae5b7,1,FAIL,2,24.16,None
1284a7249a4fa10f,3,FAIL,5,25.10,None
cbeb87b359947c42,3,FAIL,10,37.93,None
c80d64b5c5e39d7b,5,FAIL,8,22.89,None
24e8876585456ee5,5,FAIL,5,31.49,None
196a88635b1c83b4,4,FAIL,6,26.19,None
e82bd665d710bb75,2,FAIL,11,23.63,None
c6739963a7308111,3,PASS,9,21.84,None
953c10f2e4d6fd6,2,PASS,2,23.72,None
d91761f3ba340d,4,FAIL,24,24.65,None
bc66c2e18fd6231b,3,FAIL,9,36.18,rules
4b236c53ea5fbbdf,3,FAIL,6,17.82,None
5f9a92945a4ab62e,1,FAIL,8,32.85,None
860fbc1cfd446f7c,3,FAIL,2,31.30,None
5b5d43da944a752d,4,PASS,10,20.90,None
971ad9f45d1bd53b,5,FAIL,9,33.87,None
5b3d4d35ac301050,2,FAIL,12,30.35,None
69a08c785ce5fcac,1,FAIL,3,31.70,None
a814bed4f6905ba4,5,FAIL,7,32.20,start/end
f32fe4e5b37fedaa,5,FAIL,7,35.00,None
3ba7fc567dd14312,3,FAIL,9,27.29,rules
7ce0b04c1a28cca6,1,FAIL,5,33.24,None
8635ff1b1bcf0c2e,5,FAIL,24,30.80,None
21df75919e7080e4,3,FAIL,9,20.69,None
daa2db8c01da0bfa,5,FAIL,11,26.90,None
6443d25f8c289548,3,FAIL,2,35.63,disconnected
91158b440e1d1942,5,FAIL,10,30.00,rules
1ba6ec5d1f0c3bc6,2,FAIL,12,38.01,None
de0f40e0c4c5852a,4,FAIL,6,29.94,None
7c2cc9e25acdc10f,4,FAIL,23,28.10,"disconnected, intersecting, rules"
146a216115846f70,5,FAIL,12,26.05,rules
704931925890a56c,2,FAIL,4,24.04,None
22c41f4911d10461,3,FAIL,3672,246.57,"start/end, disconnected, intersecting, rules"
75761871763e88e3,2,FAIL,4511,246.29,start/end
fee7fa98ecbf4534,1,FAIL,7,26.28,None
3abef01e5d890e13,4,FAIL,4480,245.68,start/end
a71c3513799bf094,2,FAIL,3,27.38,None
3b229c1d0453a603,3,FAIL,3,14.95,None
ba867d9c182c1124,1,FAIL,6,28.40,None
22ee8177bb6b927d,4,FAIL,12,34.84,None
200a2fdec77f69b6,1,FAIL,8,28.85,rules
4c7b5bd02c9270d,3,FAIL,9,22.78,None
efb560f2141edf82,1,FAIL,2,210.59,disconnected
b7b817f9033f188,5,FAIL,12,32.14,None
4cc3d963aecb0aec,3,FAIL,14,25.24,None
6a4a59d9017e80e2,4,FAIL,5,35.85,None
a483b2ad65b79823,4,FAIL,15,28.71,rules
c611d73335c05ea3,3,FAIL,12,30.64,rules
9fc7d6795a3be635,2,FAIL,15,19.02,None
9b4f3b36495c1615,3,FAIL,11,28.72,None
1b62c846b90e5d1d,3,FAIL,13,26.74,None
934d99322aa22dff,1,FAIL,3,22.32,None
cd5b6b24c51fb69a,2,FAIL,11,32.43,None
bb9d7db6f55f1f1e,4,FAIL,11,23.40,None
d1e03bb313e747a9,1,FAIL,6,25.86,None
e1b6f8b19d2f4176,2,FAIL,27,30.54,None
c09ea70a605760d3,1,FAIL,5,30.08,None
58a0f5bca3ff514c,5,FAIL,2,211.56,disconnected
625730bf3883005c,4,FAIL,13,24.34,rules
8211b75bfb0c714d,1,FAIL,6,35.51,rules
12adf37a767b56ea,2,FAIL,7,31.00,rules
4582b19904d9a029,1,FAIL,10,27.23,rules
62035ff8ad16cb71,2,FAIL,11,33.15,None
5c3f4379847796c4,4,FAIL,9,27.04,None
bc71d833fad658fb,1,FAIL,4,24.53,None
77da6edaa689f44a,2,FAIL,7,26.84,None
7326259652efbc9d,4,FAIL,9,20.82,None
85f95e3fbcd76abb,3,FAIL,2,30.75,None
bb667cb09578b4a3,5,FAIL,9,29.05,None
ad8f394763490f26,3,FAIL,4,23.95,None
3d1c8a00f582892,3,FAIL,13,25.48,None
b10c07139b1aa490,1,FAIL,11,40.51,rules
5d259263ec5a5c9e,4,FAIL,12,29.56,None
62d5ef592f8f91fc,3,FAIL,7,23.23,None
be49f0eca3cd4c32,1,FAIL,6,23.07,None
220246750ec56ccb,2,FAIL,4,22.40,None
f425a63fc423ced0,3,FAIL,11,21.40,None
b3e3c52cd5223942,5,FAIL,8,27.37,None
ce576f59fcd8e5b5,4,FAIL,8,19.55,None
d71204c97803d9a,4,FAIL,0,27.42,"start/end, disconnected, intersecting, rules"
cc4ff7682e293a1b,2,PASS,12,33.82,None
b25e33c50909fc03,2,FAIL,8,29.88,None
f271fc95525040b1,5,FAIL,14,27.42,None
9390c84b6360b4bb,1,FAIL,5,34.25,None
a454bd9c3ad0168a,5,FAIL,7,29.89,None
db130c08db23e907,1,FAIL,10,18.94,None
5c59a67541d92c71,5,FAIL,9,21.93,None
745deea1055373eb,3,FAIL,3,39.64,"disconnected, intersecting"
440d97e917325fb0,3,FAIL,7,31.19,None
dbd181183bb9f775,4,FAIL,16,34.81,None
fef8e390bd7a2a7a,5,FAIL,26,26.61,disconnected
3987c3fc8d33089e,3,FAIL,12,21.64,rules
851365be4fc5c5e,2,PASS,2,25.49,None
e20e6b6a00158bdc,5,FAIL,16,22.99,None
841b2d97bb365b8b,4,FAIL,12,26.46,None
b4d66071dc728f44,2,FAIL,12,40.57,None
1e7c5367fa438e3b,5,FAIL,16,29.00,None
b8eb6f7dd1cc9b86,1,FAIL,6,18.19,None
1796837aa68c2b76,3,FAIL,12,37.54,rules
598f03a76e659bbd,3,FAIL,10,20.60,None
a8ea92dd47f4186b,2,FAIL,14,21.59,rules
a305fe218d16e612,4,FAIL,10,28.84,None
d58e426a05bbebe0,4,FAIL,17,34.27,None
95baf8b98ab6874,5,FAIL,5,27.82,None
d72e6e1a7317b676,4,FAIL,6,24.19,None
b2888d9633744522,3,FAIL,19,32.54,None
fb69acc1bff1c7b5,2,FAIL,5,29.43,None
1b23ec5dcd81c575,2,FAIL,9,22.20,None
dedb9695c830d9a1,5,FAIL,11,20.55,None
94e6829bc5fe599b,4,FAIL,3,25.79,None
7f61e30cde11dfd2,5,FAIL,12,40.13,None
ac07176ade6d4fcc,2,FAIL,2,16.33,disconnected
aecb916b87a88a32,3,FAIL,2,15.92,None
6a3a112c0f2e831b,5,FAIL,11,21.00,rules
e836ae53a1a6b880,5,FAIL,12,34.22,None
58d9c6f1f97d78c1,2,FAIL,7,28.02,None
10bea253035c791c,2,FAIL,17,30.93,None
5569f16359d15a33,5,FAIL,23,34.04,None
d4af13ed1d455209,1,FAIL,10,41.33,rules
4efa50053369c63c,3,FAIL,8,23.23,None
4088920d22fbc15a,2,FAIL,11,31.65,None
9ecc1e98360e6c0d,3,FAIL,5,29.76,"disconnected, intersecting, rules"
8b47902d43ed5c7,3,FAIL,7,20.11,rules
6911f7c1419318bb,4,FAIL,17,35.82,rules
ed62498f9a7cf7a5,4,FAIL,26,45.81,None
4b518615758126ef,3,FAIL,7,21.32,None
a2a967199664a80,4,FAIL,6,21.56,None
93c544fa7b73dc1a,4,FAIL,15,38.91,"disconnected, intersecting, rules"
b54da7bdff2713e1,2,FAIL,5,27.56,None
2c5ddc804e5b35ba,1,FAIL,11,32.56,None
241a28965ab741d,1,FAIL,3,24.86,None
4a5c32111bf61aae,5,FAIL,2,30.81,disconnected
65171c970b77339e,2,FAIL,4,21.99,None
70c971586d6ab721,1,FAIL,9,26.73,None
dd196820fff0f585,2,FAIL,12,30.71,None
683d3d2b64d8d1fb,4,FAIL,17,25.49,disconnected
3ca9fa7e19e2188c,4,FAIL,10,37.09,disconnected
581706995f65f93d,5,FAIL,2,26.97,None
8f5dd8ca7b23f826,4,FAIL,2,26.89,None
4c6a9d610b717d17,3,FAIL,17,45.33,None
f701ba6827f8ceff,2,FAIL,2,26.19,None
24dd9a735b612dc1,3,FAIL,11,30.42,None
138e21433d2e6a52,2,FAIL,7,23.14,None
72a1fec5c73b6560,4,FAIL,3,24.67,None
86c16115d5cda6a0,5,FAIL,12,41.76,None
2790e863a5831db9,3,FAIL,14,26.09,None
ab298046d34718be,5,FAIL,20,34.90,None
ad8274727f965b1c,1,FAIL,5,25.49,None
a722e79130881da0,2,FAIL,11,30.26,None
9435f4bc2b1cf34d,1,FAIL,22,36.49,start/end
2e4b26ec1c401cbe,4,FAIL,8,28.43,None
8b308dfba88e4ac,3,FAIL,2,25.24,None
701d6d1daff25a25,2,FAIL,22,30.36,"disconnected, rules"
f42b8d86bfb89096,1,FAIL,4,31.38,rules
c4341ab9fd5c439c,1,FAIL,5,30.42,None
97be11048bb04a30,3,FAIL,8,21.69,None
7f403db698db059f,1,FAIL,8,33.88,None
9e892fbdd6f4c4a9,2,FAIL,6,29.13,rules
b7672ba95aff4ff6,5,FAIL,13,34.65,None
e0e6857dd441101b,2,FAIL,17,32.76,rules
a12c7a055e6395a2,2,FAIL,5,19.05,None
e8f814f726cb4612,5,FAIL,24,36.47,None
fc19c4a5e89d29f4,4,FAIL,2,29.49,disconnected
4ec9d16a5a573d4e,2,FAIL,2,21.92,None
8bbb1046d8c49095,1,FAIL,3,30.76,None
8e231f18dc7d476f,5,FAIL,16,26.82,None
50ed62dcb0f1bce3,4,FAIL,11,27.98,None
154515f7b4e4fe2b,2,PASS,3,28.84,None
1a43bd0f8e35bd1d,2,FAIL,19,23.52,None
281ee792644831c5,2,FAIL,7,28.19,None
c881c033239a38de,3,FAIL,10,18.22,rules
a92cdc81d7a94775,5,FAIL,3,27.63,"disconnected, intersecting"
9283bfdf68bc92a8,2,FAIL,18,40.53,None
b7cbcba402c57078,2,FAIL,13,33.42,None
11846421c28ce2aa,4,FAIL,14,30.64,rules
2a0e2b1240764998,4,FAIL,15,20.97,None
577d6771b88eca36,3,FAIL,15,35.72,None
9c31840855436adc,5,FAIL,12,32.29,None
495da6f2a1c1f750,5,FAIL,4,21.31,None
544628c3b3077982,5,FAIL,14,23.15,None
95bd7bebb5849554,2,FAIL,2,30.09,None
5daa7098e5e15b8a,3,FAIL,10,34.35,None
2d360e53c1cbf48e,2,FAIL,9,28.64,rules
ad210a7535f9228a,3,PASS,2,30.53,None
4d1f8e4f341d8ba,2,FAIL,9,25.43,None
c0bf87685a69078a,2,FAIL,4,25.52,None
e155b38ad467ae03,5,FAIL,0,21.29,"start/end, disconnected, intersecting, rules"
525f7011d139f68e,1,FAIL,9,33.42,None
85ace8079f2972ab,3,FAIL,11,38.00,rules
d79be6059dc29292,2,FAIL,12,30.50,None
bc2d315cd19b8b76,3,PASS,4,24.22,None
336018fab47f526a,2,FAIL,13,33.00,None
9a0559017cacdd9c,1,FAIL,8,25.49,None
5d4260bea3b7d613,1,FAIL,8,37.40,None
14738c1f0e0cf17e,2,FAIL,11,32.42,None
23f41583d9fe02ee,2,FAIL,5,26.21,None
58acf96418610e19,5,FAIL,7,28.55,rules
624d40ea5ad58707,2,FAIL,5,22.95,None
9ec88d42d75e54fd,3,FAIL,5,21.40,None
476e3c927a845ee2,3,FAIL,8,27.12,None
664bfd4472be694f,2,FAIL,4,26.27,None
caa32446dc7ead46,2,FAIL,7,22.47,rules
4fda11641a1a910d,2,FAIL,8,26.23,None
3e3df50762cc36ec,5,FAIL,18,40.96,None
25d54c7266e20657,1,FAIL,18,29.90,None
6989cd6ab3949a4f,3,FAIL,12,32.29,rules
590618124bd8505f,1,FAIL,8,28.72,rules
a467089dbb60a183,2,FAIL,0,17.20,"start/end, disconnected, intersecting, rules"
d7085f61b66ce173,3,FAIL,23,30.37,None
f435579761647ddf,3,FAIL,22,32.67,None
feae5b1edd06f1d8,3,FAIL,10,31.25,None
d68b4a78a6f0565e,4,FAIL,7,21.48,None
4aef1ec8290c118,3,FAIL,16,30.20,None
274e23e5326cd99e,3,FAIL,2,212.45,disconnected
cea6e767c4288aaa,5,FAIL,22,41.33,None
a4c2176205e2a4a2,5,FAIL,23,32.76,None
a3e158fe8036aa90,1,FAIL,8,24.93,None
98325269e7bc1977,2,FAIL,6,31.57,None
8dc55e8d130ea293,3,FAIL,6,25.88,None
e090440b02df7219,3,FAIL,9,31.62,None
f758efc83c595b04,3,FAIL,9,26.64,None
ac7626649901d917,5,FAIL,23,234.66,None
cb28e0534aa0b063,2,FAIL,6,30.13,None
b7b14b2fbd23c24b,1,FAIL,16,19.54,None
f7c670905617d0e2,3,FAIL,28,24.67,intersecting
cc060a01c6f06fab,1,FAIL,9,26.23,None
a8a6d541abcb65e9,5,FAIL,12,36.47,None
703d0229f69d6415,5,FAIL,22,18.53,None
608f0139a3c6e1de,3,FAIL,18,34.66,None
83e85cc51ea9b2fb,5,FAIL,14,36.96,rules
899bbb366dc44689,3,FAIL,3,29.66,None
c8b18eeabcd973f1,1,FAIL,3,48.00,None
da30abc42943f24c,3,FAIL,4175,235.54,start/end
e399bce353272491,5,FAIL,4,29.90,rules
7306458c0105872e,5,FAIL,10,32.95,rules
e605eb2515ac4bfe,5,FAIL,17,24.07,None
2f52e830064190c4,1,FAIL,11,23.50,rules
226fd6aa76fd90b5,3,FAIL,17,39.32,None
70bb35cbdc82f22d,4,FAIL,4,36.71,None
c92372bd94215032,3,FAIL,8,27.21,rules
7490b794631b985e,5,FAIL,9,26.60,None
82877e44b5aa0795,1,FAIL,2,28.17,None
5f0427651d0b984c,2,FAIL,12,25.65,rules
a6aca58a3edafcc2,3,FAIL,5,22.48,rules
b9f806a3aba3a370,5,FAIL,3,39.10,None
6663c8ddf3565b3f,5,FAIL,7,14.40,None
df855ae9d3a12db5,2,FAIL,11,31.25,None
fea07309116da353,3,FAIL,11,38.07,start/end
10aae2671ff44dc2,5,FAIL,20,40.90,None
b40b772a9ef00980,1,FAIL,22,34.52,None
cf9dfd87180659b,4,FAIL,7,24.05,None
c2f1726c32030b96,2,PASS,6,31.34,None
51b9bb5cdf4abfef,3,FAIL,10,31.86,rules
820399c7eebb39c2,3,FAIL,7,26.68,None
58fff3d41575caab,4,FAIL,10,35.32,rules
fed3e5eff97750d6,2,FAIL,6,33.83,rules
fa1114b465eb178,2,FAIL,11,24.98,None
611f87b14c17edb2,4,FAIL,2,38.76,disconnected
d182949e859cba4f,2,FAIL,9,30.61,rules
cdb63ede036474c5,4,FAIL,13,34.03,rules
851fd63e172dbba0,4,FAIL,2,25.28,None
4de04b3c4d15b5d5,3,FAIL,10,29.92,rules
95916b71a3f794ff,2,FAIL,8,22.52,None
e960398c9fbd29fe,3,FAIL,6,24.34,None
9a5dbca10f5418db,2,FAIL,7,34.63,None
857ae50f99d9f3ac,2,FAIL,10,22.83,rules
a2106593071eb66a,4,FAIL,7,29.68,None
95fc27b34533357d,5,FAIL,9,28.10,None
27a3f4a05594287b,2,FAIL,2,26.56,disconnected
8676d8ef338255d2,4,FAIL,12,28.82,None
519594536d60e115,2,FAIL,11,26.36,None
cecbbabf056d148c,3,FAIL,11,34.14,None
9cddf98975ee77a2,3,FAIL,12,29.66,None
969355c609397327,4,FAIL,33,31.35,"disconnected, intersecting, rules"
92e56e8b713d5c9d,5,FAIL,25,24.53,None
13363083e52f42ac,5,FAIL,9,29.80,None
d22b1d7fd116be8b,3,FAIL,12,31.33,None
1bf8d47b32b9b719,3,FAIL,7,28.00,None
d170cc270db4f272,1,FAIL,13,31.45,None
8f1f819d287a3bb2,4,FAIL,3,27.96,None
e10bd3e5d6963967,3,FAIL,23,25.81,None
5b6ee1f3e4e114a7,3,FAIL,5,33.12,rules
2691c37dd4b921ae,4,FAIL,13,27.55,None
1d13ef360a0d5ca5,1,FAIL,3,27.44,None
1f85eacd72d02d23,5,FAIL,15,34.68,rules
9b274fcf3ed44212,1,FAIL,13,31.92,intersecting
df15fe6ed4dd7df0,3,FAIL,12,35.13,None
52df57cc84fbc153,5,FAIL,21,34.04,None
cef4eaa4525b4d4a,1,FAIL,13,27.48,None
2cdfbd4a9f364513,2,FAIL,9,26.40,rules
1ef0bc42f42911b,5,FAIL,8,21.47,None
c94de1c651355827,3,FAIL,9,36.98,None
5faeb260f219d74a,3,FAIL,6,20.48,None
f50e2570d6d028f4,3,FAIL,2,30.94,None
8c2ad5e4cfbbc016,4,FAIL,13,37.36,None
dea5ab3b33019569,4,FAIL,24,34.03,None
22f2c48bcc4ce64f,2,FAIL,9,22.16,rules
6be507c084e691cb,2,FAIL,7,32.12,None
7952d255b6ea209c,4,FAIL,10,35.11,None
ebcbfd4fa2867c42,2,FAIL,2,39.09,disconnected
3a6ba4ffd84fc4c1,5,FAIL,2,27.75,None
93a638921305725f,4,FAIL,7,21.23,rules
8ea34b6d23b4761e,2,FAIL,9,26.67,None
88fa0972b417c260,5,FAIL,4,28.29,None
6eab214d450d4dbe,4,FAIL,11,21.04,None
66af5fa2c849be82,4,FAIL,9,14.51,None
3b9f7395fef14327,5,FAIL,7,14.51,rules
f8999f1ddbc4e969,2,FAIL,4,23.77,None
8d5f970e2d32d4eb,3,FAIL,14,27.33,None
2ba08168d4f94e2f,3,FAIL,14,38.99,None
442360e781344ca6,3,FAIL,11,24.25,rules
293100f44e836546,3,FAIL,3,19.10,None
4d7a1a66baaf63ae,2,FAIL,3,19.99,None
f6b6da2cfd79bf8d,4,FAIL,9,33.51,None
f92812f4de72ff65,2,FAIL,2,30.17,None
6309fe9234408d09,3,FAIL,6,22.94,None
fcddbcaebe33803e,5,FAIL,2,27.06,None
51464a9c8a314377,5,FAIL,22,13.51,None
a4bf7550aba66cda,1,FAIL,3,22.28,None
a022c119975a7c52,3,FAIL,11,29.32,rules
1a068875a3e6faef,2,FAIL,2,234.09,disconnected
