Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,28.57,None
ebc9c10093a1255a,3,FAIL,8,17.73,None
ed40414d615431d6,3,FAIL,6,60.37,None
dce20e150e7fcced,5,FAIL,19,19.85,None
3fe8a85b768ae5b7,1,FAIL,2,12.47,None
1284a7249a4fa10f,3,FAIL,5,7.66,None
cbeb87b359947c42,3,FAIL,10,30.15,None
c80d64b5c5e39d7b,5,FAIL,8,27.65,None
24e8876585456ee5,5,FAIL,5,12.80,None
196a88635b1c83b4,4,FAIL,6,8.64,None
e82bd665d710bb75,2,FAIL,11,20.20,None
c6739963a7308111,3,PASS,9,17.81,None
953c10f2e4d6fd6,2,PASS,2,8.81,None
d91761f3ba340d,4,FAIL,14,21.69,rules
bc66c2e18fd6231b,3,FAIL,9,17.92,rules
4b236c53ea5fbbdf,3,FAIL,0,11.95,"start/end, disconnected, intersecting, rules"
5f9a92945a4ab62e,1,FAIL,10,12.32,None
860fbc1cfd446f7c,3,FAIL,2,29.60,None
5b5d43da944a752d,4,FAIL,10,17.74,rules
971ad9f45d1bd53b,5,FAIL,9,18.23,None
5b3d4d35ac301050,2,FAIL,12,20.90,None
69a08c785ce5fcac,1,FAIL,3,7.88,None
a814bed4f6905ba4,5,FAIL,15,17.35,None
f32fe4e5b37fedaa,5,FAIL,7,17.37,None
3ba7fc567dd14312,3,FAIL,9,17.60,rules
7ce0b04c1a28cca6,1,FAIL,5,15.91,None
8635ff1b1bcf0c2e,5,FAIL,8,19.45,None
21df75919e7080e4,3,FAIL,9,13.78,None
daa2db8c01da0bfa,5,FAIL,11,30.41,None
6443d25f8c289548,3,FAIL,4,11.97,None
91158b440e1d1942,5,FAIL,10,16.19,None
1ba6ec5d1f0c3bc6,2,FAIL,0,17.45,"start/end, disconnected, intersecting, rules"
de0f40e0c4c5852a,4,FAIL,24,26.99,None
7c2cc9e25acdc10f,4,FAIL,10,31.94,None
146a216115846f70,5,FAIL,16,14.29,None
704931925890a56c,2,FAIL,4,16.41,rules
22c41f4911d10461,3,FAIL,14,26.92,rules
75761871763e88e3,2,FAIL,11,16.02,None
fee7fa98ecbf4534,1,FAIL,7,25.82,None
3abef01e5d890e13,4,FAIL,18,26.54,None
a71c3513799bf094,2,FAIL,3,20.59,None
3b229c1d0453a603,3,FAIL,3,7.99,None
ba867d9c182c1124,1,FAIL,6,7.53,None
22ee8177bb6b927d,4,FAIL,12,18.30,None
200a2fdec77f69b6,1,FAIL,8,12.29,None
4c7b5bd02c9270d,3,FAIL,9,8.44,None
efb560f2141edf82,1,PASS,4,15.80,None
b7b817f9033f188,5,FAIL,0,10.28,"start/end, disconnected, intersecting, rules"
4cc3d963aecb0aec,3,FAIL,14,13.22,None
6a4a59d9017e80e2,4,FAIL,5,9.52,None
a483b2ad65b79823,4,FAIL,15,16.08,rules
c611d73335c05ea3,3,FAIL,22,38.96,rules
9fc7d6795a3be635,2,FAIL,11,16.94,None
9b4f3b36495c1615,3,FAIL,13,18.40,rules
1b62c846b90e5d1d,3,FAIL,11,17.57,rules
934d99322aa22dff,1,FAIL,3,5.66,None
cd5b6b24c51fb69a,2,FAIL,11,13.62,None
bb9d7db6f55f1f1e,4,FAIL,11,5.65,None
d1e03bb313e747a9,1,FAIL,6,16.23,None
e1b6f8b19d2f4176,2,FAIL,0,13.54,"start/end, disconnected, intersecting, rules"
c09ea70a605760d3,1,FAIL,5,5.77,None
58a0f5bca3ff514c,5,FAIL,0,22.69,"start/end, disconnected, intersecting, rules"
625730bf3883005c,4,FAIL,13,15.53,rules
8211b75bfb0c714d,1,FAIL,3,25.60,disconnected
12adf37a767b56ea,2,FAIL,5,26.15,rules
4582b19904d9a029,1,FAIL,10,18.25,rules
62035ff8ad16cb71,2,FAIL,11,19.18,None
5c3f4379847796c4,4,FAIL,9,13.31,None
bc71d833fad658fb,1,FAIL,4,8.02,None
77da6edaa689f44a,2,FAIL,7,11.14,None
7326259652efbc9d,4,FAIL,9,22.22,None
85f95e3fbcd76abb,3,FAIL,2,20.34,None
bb667cb09578b4a3,5,FAIL,9,10.42,None
ad8f394763490f26,3,FAIL,4,14.63,None
3d1c8a00f582892,3,FAIL,17,17.20,None
b10c07139b1aa490,1,FAIL,11,24.47,rules
5d259263ec5a5c9e,4,FAIL,12,14.87,None
62d5ef592f8f91fc,3,FAIL,7,9.94,None
be49f0eca3cd4c32,1,FAIL,6,7.82,None
220246750ec56ccb,2,FAIL,4,9.16,None
f425a63fc423ced0,3,FAIL,11,24.12,None
b3e3c52cd5223942,5,FAIL,8,11.97,None
ce576f59fcd8e5b5,4,FAIL,16,15.22,None
d71204c97803d9a,4,FAIL,15,21.75,None
cc4ff7682e293a1b,2,PASS,12,17.46,None
b25e33c50909fc03,2,FAIL,8,17.45,None
f271fc95525040b1,5,FAIL,14,8.21,None
9390c84b6360b4bb,1,FAIL,5,11.27,None
a454bd9c3ad0168a,5,FAIL,7,19.68,None
db130c08db23e907,1,FAIL,10,8.36,None
5c59a67541d92c71,5,FAIL,0,26.14,"start/end, disconnected, intersecting, rules"
745deea1055373eb,3,FAIL,17,18.03,None
440d97e917325fb0,3,PASS,7,12.29,None
dbd181183bb9f775,4,FAIL,14,13.36,None
fef8e390bd7a2a7a,5,FAIL,0,19.38,"start/end, disconnected, intersecting, rules"
3987c3fc8d33089e,3,FAIL,12,28.61,None
851365be4fc5c5e,2,PASS,2,6.72,None
e20e6b6a00158bdc,5,FAIL,16,23.97,rules
841b2d97bb365b8b,4,FAIL,12,22.44,None
b4d66071dc728f44,2,FAIL,12,8.98,None
1e7c5367fa438e3b,5,FAIL,16,9.57,None
