Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,15,3.0%
Failed,485,97.0%
,,
Fully Valid Paths,396,79.2%
Connected Paths,472,94.4%
Correct Start/End,475,95.0%
Non-Intersecting,474,94.8%
No Rule Violations,409,81.8%
,,
Difficulty 1 Solved,3/86,3.5%
Difficulty 2 Solved,7/118,5.9%
Difficulty 3 Solved,4/121,3.3%
Difficulty 4 Solved,0/86,0.0%
Difficulty 5 Solved,1/89,1.1%
,,
Avg Path Length,18.8 steps,
Min Path Length,2 steps,
Max Path Length,4439 steps,
,,
Total Time,9510.2 seconds,
Avg Time per Puzzle,19.02 seconds,
Puzzles per Minute,3.2,
