Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,51,10.2%
Failed,449,89.8%
,,
Fully Valid Paths,475,95.0%
Connected Paths,493,98.6%
Correct Start/End,499,99.8%
Non-Intersecting,489,97.8%
No Rule Violations,487,97.4%
,,
Difficulty 1 Solved,28/86,32.6%
Difficulty 2 Solved,15/118,12.7%
Difficulty 3 Solved,5/121,4.1%
Difficulty 4 Solved,3/86,3.5%
Difficulty 5 Solved,0/89,0.0%
,,
Avg Path Length,12.8 steps,
Min Path Length,2 steps,
Max Path Length,45 steps,
,,
Total Time,39140.3 seconds,
Avg Time per Puzzle,78.28 seconds,
Puzzles per Minute,0.8,
