Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,29,164.36,rules
ebc9c10093a1255a,3,FAIL,8,174.34,None
ed40414d615431d6,3,FAIL,8,144.24,None
dce20e150e7fcced,5,FAIL,19,152.54,rules
3fe8a85b768ae5b7,1,FAIL,12,124.74,None
1284a7249a4fa10f,3,FAIL,9,189.68,None
cbeb87b359947c42,3,FAIL,12,201.68,None
c80d64b5c5e39d7b,5,FAIL,14,120.82,None
24e8876585456ee5,5,FAIL,5,219.02,None
196a88635b1c83b4,4,FAIL,2,143.32,disconnected
e82bd665d710bb75,2,FAIL,11,198.45,None
c6739963a7308111,3,PASS,9,107.73,None
953c10f2e4d6fd6,2,PASS,2,86.40,None
d91761f3ba340d,4,FAIL,20,178.60,None
bc66c2e18fd6231b,3,FAIL,15,165.39,None
4b236c53ea5fbbdf,3,FAIL,6,96.68,None
5f9a92945a4ab62e,1,FAIL,8,235.65,None
860fbc1cfd446f7c,3,FAIL,2,198.69,None
5b5d43da944a752d,4,PASS,10,179.97,None
971ad9f45d1bd53b,5,FAIL,17,212.20,None
5b3d4d35ac301050,2,PASS,12,158.74,None
69a08c785ce5fcac,1,FAIL,3,82.45,None
a814bed4f6905ba4,5,FAIL,15,177.22,None
f32fe4e5b37fedaa,5,FAIL,7,156.79,None
3ba7fc567dd14312,3,FAIL,11,147.30,None
7ce0b04c1a28cca6,1,FAIL,5,215.20,None
8635ff1b1bcf0c2e,5,FAIL,12,216.69,None
21df75919e7080e4,3,PASS,9,122.05,None
daa2db8c01da0bfa,5,FAIL,29,142.44,rules
6443d25f8c289548,3,FAIL,6,170.95,None
91158b440e1d1942,5,FAIL,16,109.88,None
1ba6ec5d1f0c3bc6,2,FAIL,18,191.27,None
de0f40e0c4c5852a,4,FAIL,8,191.61,None
7c2cc9e25acdc10f,4,FAIL,28,156.90,None
146a216115846f70,5,FAIL,12,139.23,None
704931925890a56c,2,FAIL,6,154.19,rules
22c41f4911d10461,3,FAIL,18,177.72,rules
75761871763e88e3,2,FAIL,11,158.84,None
fee7fa98ecbf4534,1,PASS,7,128.07,None
3abef01e5d890e13,4,PASS,16,125.92,None
a71c3513799bf094,2,FAIL,3,250.79,None
3b229c1d0453a603,3,FAIL,3,201.28,None
ba867d9c182c1124,1,FAIL,6,97.14,None
22ee8177bb6b927d,4,FAIL,26,164.60,None
200a2fdec77f69b6,1,PASS,10,123.66,None
4c7b5bd02c9270d,3,FAIL,9,200.36,None
efb560f2141edf82,1,PASS,4,71.44,None
b7b817f9033f188,5,FAIL,12,138.34,None
4cc3d963aecb0aec,3,FAIL,12,118.06,None
6a4a59d9017e80e2,4,FAIL,5,149.01,None
a483b2ad65b79823,4,FAIL,15,140.27,None
c611d73335c05ea3,3,FAIL,16,127.53,None
9fc7d6795a3be635,2,FAIL,11,159.71,None
9b4f3b36495c1615,3,FAIL,11,187.14,None
1b62c846b90e5d1d,3,FAIL,13,164.17,None
934d99322aa22dff,1,FAIL,3,103.74,None
cd5b6b24c51fb69a,2,FAIL,11,176.23,None
bb9d7db6f55f1f1e,4,FAIL,23,156.16,None
d1e03bb313e747a9,1,FAIL,6,118.92,None
e1b6f8b19d2f4176,2,FAIL,19,143.41,None
c09ea70a605760d3,1,FAIL,17,114.26,None
58a0f5bca3ff514c,5,FAIL,17,147.57,rules
625730bf3883005c,4,FAIL,13,197.57,None
8211b75bfb0c714d,1,FAIL,8,214.36,None
12adf37a767b56ea,2,FAIL,9,130.97,None
4582b19904d9a029,1,PASS,10,157.93,None
62035ff8ad16cb71,2,FAIL,15,193.84,None
5c3f4379847796c4,4,FAIL,9,107.08,None
bc71d833fad658fb,1,FAIL,4,93.93,None
77da6edaa689f44a,2,FAIL,23,195.06,rules
7326259652efbc9d,4,FAIL,21,187.39,None
85f95e3fbcd76abb,3,FAIL,2,189.71,None
bb667cb09578b4a3,5,FAIL,9,169.39,None
ad8f394763490f26,3,PASS,12,150.09,None
3d1c8a00f582892,3,FAIL,7,135.08,None
b10c07139b1aa490,1,PASS,15,188.94,None
5d259263ec5a5c9e,4,FAIL,8,150.53,None
62d5ef592f8f91fc,3,FAIL,19,187.10,None
be49f0eca3cd4c32,1,FAIL,20,116.72,None
220246750ec56ccb,2,FAIL,4,118.21,None
f425a63fc423ced0,3,FAIL,7,97.75,None
b3e3c52cd5223942,5,FAIL,8,193.13,None
ce576f59fcd8e5b5,4,FAIL,12,149.80,None
d71204c97803d9a,4,FAIL,15,101.67,None
cc4ff7682e293a1b,2,PASS,12,93.39,None
b25e33c50909fc03,2,FAIL,8,86.66,None
f271fc95525040b1,5,FAIL,18,151.65,None
9390c84b6360b4bb,1,FAIL,5,93.17,None
a454bd9c3ad0168a,5,FAIL,27,142.93,None
db130c08db23e907,1,FAIL,20,214.42,None
5c59a67541d92c71,5,FAIL,27,202.48,rules
745deea1055373eb,3,FAIL,17,197.27,None
440d97e917325fb0,3,FAIL,7,119.31,None
dbd181183bb9f775,4,FAIL,16,188.91,None
fef8e390bd7a2a7a,5,FAIL,19,157.19,rules
3987c3fc8d33089e,3,FAIL,12,178.83,None
851365be4fc5c5e,2,PASS,2,114.97,None
e20e6b6a00158bdc,5,FAIL,18,145.28,rules
841b2d97bb365b8b,4,FAIL,20,212.10,None
b4d66071dc728f44,2,FAIL,16,184.90,None
1e7c5367fa438e3b,5,FAIL,16,176.74,None
b8eb6f7dd1cc9b86,1,FAIL,6,185.31,None
1796837aa68c2b76,3,FAIL,16,223.11,intersecting
598f03a76e659bbd,3,FAIL,12,226.01,None
a8ea92dd47f4186b,2,FAIL,14,151.68,None
a305fe218d16e612,4,FAIL,20,200.21,None
d58e426a05bbebe0,4,FAIL,17,202.62,None
95baf8b98ab6874,5,FAIL,9,167.29,None
d72e6e1a7317b676,4,FAIL,22,184.67,rules
b2888d9633744522,3,FAIL,23,143.86,None
fb69acc1bff1c7b5,2,FAIL,13,177.98,None
1b23ec5dcd81c575,2,FAIL,21,226.00,None
dedb9695c830d9a1,5,FAIL,11,142.28,None
94e6829bc5fe599b,4,FAIL,5,255.15,rules
7f61e30cde11dfd2,5,FAIL,18,208.64,None
ac07176ade6d4fcc,2,FAIL,3,124.05,None
aecb916b87a88a32,3,FAIL,24,137.44,None
6a3a112c0f2e831b,5,FAIL,7,184.51,"start/end, rules"
e836ae53a1a6b880,5,FAIL,12,121.30,None
58d9c6f1f97d78c1,2,FAIL,20,176.75,disconnected
10bea253035c791c,2,FAIL,13,169.37,None
5569f16359d15a33,5,FAIL,23,135.06,None
d4af13ed1d455209,1,FAIL,14,162.58,None
4efa50053369c63c,3,FAIL,8,177.93,None
4088920d22fbc15a,2,FAIL,15,182.44,None
9ecc1e98360e6c0d,3,FAIL,13,183.59,None
8b47902d43ed5c7,3,FAIL,9,171.56,None
6911f7c1419318bb,4,FAIL,11,110.69,None
ed62498f9a7cf7a5,4,FAIL,16,133.42,None
4b518615758126ef,3,FAIL,7,218.14,None
a2a967199664a80,4,FAIL,24,225.96,rules
93c544fa7b73dc1a,4,FAIL,9,171.20,None
b54da7bdff2713e1,2,FAIL,5,175.35,None
2c5ddc804e5b35ba,1,FAIL,13,201.45,None
241a28965ab741d,1,FAIL,3,110.84,None
4a5c32111bf61aae,5,FAIL,11,134.15,None
65171c970b77339e,2,FAIL,4,126.08,None
70c971586d6ab721,1,FAIL,11,177.21,None
dd196820fff0f585,2,FAIL,6,191.55,None
683d3d2b64d8d1fb,4,FAIL,16,214.98,None
3ca9fa7e19e2188c,4,FAIL,17,181.65,rules
581706995f65f93d,5,FAIL,24,132.23,rules
8f5dd8ca7b23f826,4,FAIL,2,89.07,None
4c6a9d610b717d17,3,FAIL,17,183.47,None
f701ba6827f8ceff,2,FAIL,12,155.25,None
24dd9a735b612dc1,3,FAIL,11,196.13,None
138e21433d2e6a52,2,FAIL,7,105.50,None
72a1fec5c73b6560,4,FAIL,3,201.46,None
86c16115d5cda6a0,5,FAIL,38,155.81,rules
2790e863a5831db9,3,FAIL,14,210.59,None
ab298046d34718be,5,FAIL,8,198.68,None
ad8274727f965b1c,1,FAIL,9,189.22,None
a722e79130881da0,2,FAIL,11,161.85,None
9435f4bc2b1cf34d,1,FAIL,5,218.42,None
2e4b26ec1c401cbe,4,FAIL,8,77.73,None
8b308dfba88e4ac,3,FAIL,24,128.92,None
701d6d1daff25a25,2,FAIL,9,110.13,None
f42b8d86bfb89096,1,FAIL,22,215.55,None
c4341ab9fd5c439c,1,FAIL,7,208.69,None
97be11048bb04a30,3,FAIL,8,182.15,None
7f403db698db059f,1,PASS,10,140.57,None
9e892fbdd6f4c4a9,2,FAIL,6,117.30,None
b7672ba95aff4ff6,5,FAIL,25,217.33,None
e0e6857dd441101b,2,FAIL,19,163.45,rules
a12c7a055e6395a2,2,FAIL,13,163.07,None
e8f814f726cb4612,5,FAIL,8,168.27,None
fc19c4a5e89d29f4,4,FAIL,13,144.81,None
4ec9d16a5a573d4e,2,FAIL,2,130.68,None
8bbb1046d8c49095,1,FAIL,7,82.99,None
8e231f18dc7d476f,5,FAIL,16,184.50,rules
50ed62dcb0f1bce3,4,FAIL,15,190.16,rules
154515f7b4e4fe2b,2,PASS,3,69.33,None
1a43bd0f8e35bd1d,2,FAIL,20,171.89,"start/end, intersecting"
281ee792644831c5,2,FAIL,15,119.32,rules
c881c033239a38de,3,FAIL,10,152.79,rules
a92cdc81d7a94775,5,FAIL,13,137.28,None
9283bfdf68bc92a8,2,FAIL,10,158.60,rules
b7cbcba402c57078,2,FAIL,9,140.11,None
11846421c28ce2aa,4,FAIL,20,191.51,None
2a0e2b1240764998,4,FAIL,7,162.28,None
577d6771b88eca36,3,FAIL,15,212.93,None
9c31840855436adc,5,FAIL,18,192.40,intersecting
495da6f2a1c1f750,5,FAIL,8,185.23,None
544628c3b3077982,5,FAIL,14,178.05,None
95bd7bebb5849554,2,FAIL,2,105.30,None
5daa7098e5e15b8a,3,FAIL,10,179.06,None
2d360e53c1cbf48e,2,FAIL,9,193.95,None
ad210a7535f9228a,3,PASS,2,70.22,None
4d1f8e4f341d8ba,2,FAIL,17,195.80,None
c0bf87685a69078a,2,FAIL,14,188.38,None
e155b38ad467ae03,5,FAIL,11,184.79,None
525f7011d139f68e,1,FAIL,17,199.48,rules
85ace8079f2972ab,3,FAIL,13,163.02,rules
d79be6059dc29292,2,FAIL,12,173.42,None
bc2d315cd19b8b76,3,PASS,4,210.29,None
336018fab47f526a,2,FAIL,13,75.95,None
9a0559017cacdd9c,1,FAIL,10,180.33,None
5d4260bea3b7d613,1,PASS,10,185.90,None
14738c1f0e0cf17e,2,FAIL,7,133.66,None
23f41583d9fe02ee,2,FAIL,5,145.46,None
58acf96418610e19,5,FAIL,17,153.32,rules
624d40ea5ad58707,2,FAIL,5,207.03,None
9ec88d42d75e54fd,3,FAIL,5,103.67,None
476e3c927a845ee2,3,FAIL,8,166.96,rules
664bfd4472be694f,2,FAIL,8,157.08,rules
caa32446dc7ead46,2,PASS,13,151.53,None
4fda11641a1a910d,2,FAIL,14,161.82,None
3e3df50762cc36ec,5,FAIL,44,53.90,rules
25d54c7266e20657,1,FAIL,18,172.18,None
6989cd6ab3949a4f,3,FAIL,16,215.70,None
590618124bd8505f,1,FAIL,8,128.05,None
a467089dbb60a183,2,FAIL,8,186.76,None
d7085f61b66ce173,3,FAIL,7,161.76,None
f435579761647ddf,3,FAIL,12,178.50,None
feae5b1edd06f1d8,3,FAIL,8,177.64,None
d68b4a78a6f0565e,4,FAIL,7,85.83,None
4aef1ec8290c118,3,FAIL,16,158.74,None
274e23e5326cd99e,3,FAIL,9,216.68,None
cea6e767c4288aaa,5,FAIL,12,196.54,None
a4c2176205e2a4a2,5,FAIL,23,231.75,rules
a3e158fe8036aa90,1,FAIL,10,129.82,None
98325269e7bc1977,2,FAIL,14,156.56,None
8dc55e8d130ea293,3,FAIL,20,168.87,rules
e090440b02df7219,3,FAIL,11,172.40,None
f758efc83c595b04,3,FAIL,11,160.95,None
ac7626649901d917,5,FAIL,23,114.37,None
cb28e0534aa0b063,2,FAIL,6,120.80,None
b7b14b2fbd23c24b,1,FAIL,10,218.73,rules
f7c670905617d0e2,3,FAIL,12,198.01,rules
cc060a01c6f06fab,1,FAIL,9,164.00,None
a8a6d541abcb65e9,5,FAIL,16,184.00,None
703d0229f69d6415,5,FAIL,16,224.57,None
608f0139a3c6e1de,3,FAIL,8,132.98,None
83e85cc51ea9b2fb,5,FAIL,20,162.29,rules
899bbb366dc44689,3,FAIL,7,248.26,rules
c8b18eeabcd973f1,1,FAIL,3,222.33,None
da30abc42943f24c,3,PASS,9,148.05,None
e399bce353272491,5,FAIL,4,169.78,None
7306458c0105872e,5,FAIL,10,191.03,None
e605eb2515ac4bfe,5,FAIL,9,177.95,None
2f52e830064190c4,1,PASS,9,236.48,None
226fd6aa76fd90b5,3,FAIL,33,267.26,intersecting
70bb35cbdc82f22d,4,FAIL,4,184.51,None
c92372bd94215032,3,FAIL,8,213.29,None
7490b794631b985e,5,FAIL,11,142.87,rules
82877e44b5aa0795,1,FAIL,20,245.52,rules
5f0427651d0b984c,2,FAIL,10,138.84,None
a6aca58a3edafcc2,3,FAIL,17,143.30,None
b9f806a3aba3a370,5,FAIL,15,115.62,None
6663c8ddf3565b3f,5,FAIL,7,163.71,None
df855ae9d3a12db5,2,FAIL,11,228.70,None
fea07309116da353,3,FAIL,10,119.40,None
10aae2671ff44dc2,5,FAIL,18,162.15,rules
b40b772a9ef00980,1,FAIL,6,92.52,None
cf9dfd87180659b,4,FAIL,13,167.58,None
c2f1726c32030b96,2,PASS,6,78.74,None
51b9bb5cdf4abfef,3,FAIL,16,170.34,None
820399c7eebb39c2,3,FAIL,7,218.70,None
58fff3d41575caab,4,FAIL,12,196.26,None
fed3e5eff97750d6,2,FAIL,10,162.84,None
fa1114b465eb178,2,FAIL,11,161.93,None
611f87b14c17edb2,4,FAIL,8,161.28,None
d182949e859cba4f,2,FAIL,11,152.88,None
cdb63ede036474c5,4,FAIL,17,197.35,rules
851fd63e172dbba0,4,FAIL,2,106.33,None
4de04b3c4d15b5d5,3,FAIL,10,146.32,None
95916b71a3f794ff,2,FAIL,18,212.78,None
e960398c9fbd29fe,3,FAIL,6,91.60,None
9a5dbca10f5418db,2,FAIL,7,100.18,None
857ae50f99d9f3ac,2,FAIL,10,177.11,None
a2106593071eb66a,4,FAIL,19,157.87,None
95fc27b34533357d,5,FAIL,9,120.81,None
27a3f4a05594287b,2,FAIL,17,167.76,None
8676d8ef338255d2,4,FAIL,12,76.36,None
519594536d60e115,2,FAIL,11,180.62,rules
cecbbabf056d148c,3,FAIL,13,100.82,None
9cddf98975ee77a2,3,FAIL,16,142.08,None
969355c609397327,4,FAIL,14,187.87,None
92e56e8b713d5c9d,5,FAIL,13,190.84,None
13363083e52f42ac,5,FAIL,9,184.74,None
d22b1d7fd116be8b,3,FAIL,12,154.21,None
1bf8d47b32b9b719,3,FAIL,31,197.71,intersecting
d170cc270db4f272,1,FAIL,13,192.08,None
8f1f819d287a3bb2,4,FAIL,3,173.84,None
e10bd3e5d6963967,3,FAIL,15,215.62,None
5b6ee1f3e4e114a7,3,FAIL,7,174.06,None
2691c37dd4b921ae,4,FAIL,13,138.98,None
1d13ef360a0d5ca5,1,FAIL,3,149.55,None
1f85eacd72d02d23,5,FAIL,17,167.80,None
9b274fcf3ed44212,1,FAIL,13,178.22,None
df15fe6ed4dd7df0,3,FAIL,18,165.07,rules
52df57cc84fbc153,5,FAIL,21,120.11,None
cef4eaa4525b4d4a,1,FAIL,9,170.42,None
2cdfbd4a9f364513,2,FAIL,21,173.97,rules
1ef0bc42f42911b,5,FAIL,8,160.68,rules
c94de1c651355827,3,FAIL,15,201.70,None
5faeb260f219d74a,3,FAIL,6,192.69,None
f50e2570d6d028f4,3,FAIL,2,154.77,None
