Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,29,224.29,intersecting
ebc9c10093a1255a,3,FAIL,38,395.70,"intersecting, rules"
ed40414d615431d6,3,FAIL,12,282.78,None
dce20e150e7fcced,5,FAIL,24,295.20,disconnected
3fe8a85b768ae5b7,1,FAIL,28,392.75,None
1284a7249a4fa10f,3,FAIL,13,438.21,None
cbeb87b359947c42,3,FAIL,15,276.46,disconnected
c80d64b5c5e39d7b,5,FAIL,26,243.99,None
24e8876585456ee5,5,FAIL,27,281.37,rules
196a88635b1c83b4,4,FAIL,25,396.30,disconnected
e82bd665d710bb75,2,PASS,19,382.59,None
c6739963a7308111,3,PASS,9,168.93,None
953c10f2e4d6fd6,2,PASS,2,168.05,None
d91761f3ba340d,4,FAIL,14,228.33,None
bc66c2e18fd6231b,3,PASS,11,252.18,None
4b236c53ea5fbbdf,3,FAIL,8,310.69,rules
5f9a92945a4ab62e,1,PASS,8,147.14,None
860fbc1cfd446f7c,3,FAIL,24,203.74,None
5b5d43da944a752d,4,PASS,10,262.01,None
971ad9f45d1bd53b,5,FAIL,21,396.73,None
5b3d4d35ac301050,2,PASS,12,135.43,None
69a08c785ce5fcac,1,PASS,7,137.33,None
a814bed4f6905ba4,5,FAIL,19,231.46,None
f32fe4e5b37fedaa,5,FAIL,29,389.51,"intersecting, rules"
3ba7fc567dd14312,3,FAIL,21,177.44,None
7ce0b04c1a28cca6,1,PASS,25,360.65,None
8635ff1b1bcf0c2e,5,FAIL,15,330.04,"disconnected, rules"
21df75919e7080e4,3,FAIL,9,361.98,None
daa2db8c01da0bfa,5,FAIL,23,423.83,None
6443d25f8c289548,3,FAIL,9,381.62,disconnected
91158b440e1d1942,5,FAIL,22,333.78,rules
1ba6ec5d1f0c3bc6,2,FAIL,18,241.49,None
de0f40e0c4c5852a,4,FAIL,31,284.14,"start/end, rules"
7c2cc9e25acdc10f,4,FAIL,28,421.08,None
146a216115846f70,5,FAIL,12,374.30,None
704931925890a56c,2,FAIL,18,280.79,None
22c41f4911d10461,3,FAIL,40,427.64,"intersecting, rules"
75761871763e88e3,2,FAIL,11,195.55,None
fee7fa98ecbf4534,1,PASS,7,131.45,None
3abef01e5d890e13,4,PASS,16,247.85,None
a71c3513799bf094,2,FAIL,9,452.07,intersecting
3b229c1d0453a603,3,FAIL,3,343.09,None
ba867d9c182c1124,1,FAIL,6,107.78,None
22ee8177bb6b927d,4,FAIL,22,348.80,rules
200a2fdec77f69b6,1,FAIL,10,118.16,rules
4c7b5bd02c9270d,3,FAIL,9,181.68,None
efb560f2141edf82,1,PASS,4,126.86,None
b7b817f9033f188,5,FAIL,12,347.54,None
4cc3d963aecb0aec,3,FAIL,12,230.12,None
6a4a59d9017e80e2,4,FAIL,5,206.04,None
a483b2ad65b79823,4,FAIL,15,420.08,None
c611d73335c05ea3,3,FAIL,16,228.17,None
9fc7d6795a3be635,2,PASS,11,165.84,None
9b4f3b36495c1615,3,FAIL,11,352.10,None
1b62c846b90e5d1d,3,FAIL,15,204.80,None
