Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,31,9.26,None
ebc9c10093a1255a,3,FAIL,42,9.93,intersecting
ed40414d615431d6,3,FAIL,15,6.52,"start/end, intersecting"
dce20e150e7fcced,5,FAIL,35,9.03,None
3fe8a85b768ae5b7,1,FAIL,28,8.15,intersecting
1284a7249a4fa10f,3,FAIL,17,6.83,intersecting
cbeb87b359947c42,3,FAIL,24,7.78,None
c80d64b5c5e39d7b,5,FAIL,8,5.60,None
24e8876585456ee5,5,FAIL,57,11.48,intersecting
196a88635b1c83b4,4,FAIL,44,10.18,intersecting
e82bd665d710bb75,2,FAIL,15,6.53,None
c6739963a7308111,3,PASS,9,5.76,None
953c10f2e4d6fd6,2,FAIL,36,9.10,intersecting
d91761f3ba340d,4,FAIL,24,7.74,None
bc66c2e18fd6231b,3,FAIL,23,7.55,None
4b236c53ea5fbbdf,3,FAIL,28,8.27,None
5f9a92945a4ab62e,1,FAIL,18,6.93,None
860fbc1cfd446f7c,3,FAIL,12,6.17,None
5b5d43da944a752d,4,FAIL,28,8.18,None
971ad9f45d1bd53b,5,FAIL,41,9.90,intersecting
5b3d4d35ac301050,2,FAIL,14,3.41,None
69a08c785ce5fcac,1,FAIL,11,2.97,intersecting
a814bed4f6905ba4,5,FAIL,27,4.96,None
f32fe4e5b37fedaa,5,FAIL,47,7.34,intersecting
3ba7fc567dd14312,3,FAIL,21,4.27,None
7ce0b04c1a28cca6,1,FAIL,5,2.22,None
8635ff1b1bcf0c2e,5,FAIL,46,7.34,intersecting
21df75919e7080e4,3,PASS,9,2.75,None
daa2db8c01da0bfa,5,FAIL,39,6.38,intersecting
6443d25f8c289548,3,FAIL,4,2.21,None
91158b440e1d1942,5,FAIL,18,9.00,None
1ba6ec5d1f0c3bc6,2,FAIL,18,3.94,None
de0f40e0c4c5852a,4,FAIL,72,10.14,intersecting
7c2cc9e25acdc10f,4,FAIL,22,4.49,intersecting
146a216115846f70,5,FAIL,16,3.67,None
704931925890a56c,2,FAIL,4,2.12,None
22c41f4911d10461,3,FAIL,52,8.32,intersecting
75761871763e88e3,2,FAIL,11,7.33,None
fee7fa98ecbf4534,1,FAIL,11,2.99,None
3abef01e5d890e13,4,FAIL,48,7.51,intersecting
a71c3513799bf094,2,FAIL,19,3.58,None
3b229c1d0453a603,3,FAIL,39,6.04,intersecting
ba867d9c182c1124,1,FAIL,12,2.59,None
22ee8177bb6b927d,4,FAIL,22,4.08,None
200a2fdec77f69b6,1,FAIL,12,2.59,None
4c7b5bd02c9270d,3,FAIL,39,6.03,intersecting
efb560f2141edf82,1,FAIL,18,3.36,None
b7b817f9033f188,5,FAIL,56,8.01,intersecting
4cc3d963aecb0aec,3,FAIL,12,7.94,None
6a4a59d9017e80e2,4,FAIL,5,5.76,None
a483b2ad65b79823,4,FAIL,25,4.37,None
c611d73335c05ea3,3,FAIL,26,8.83,None
9fc7d6795a3be635,2,FAIL,11,2.46,None
9b4f3b36495c1615,3,FAIL,19,3.49,None
1b62c846b90e5d1d,3,FAIL,19,3.49,None
934d99322aa22dff,1,FAIL,9,2.22,None
cd5b6b24c51fb69a,2,FAIL,23,4.00,intersecting
bb9d7db6f55f1f1e,4,FAIL,55,7.98,intersecting
d1e03bb313e747a9,1,FAIL,24,4.13,None
e1b6f8b19d2f4176,2,FAIL,31,4.97,intersecting
c09ea70a605760d3,1,FAIL,17,3.33,None
58a0f5bca3ff514c,5,FAIL,41,6.22,intersecting
625730bf3883005c,4,FAIL,37,5.92,None
8211b75bfb0c714d,1,FAIL,16,3.21,None
12adf37a767b56ea,2,FAIL,13,2.82,None
4582b19904d9a029,1,FAIL,16,3.20,None
62035ff8ad16cb71,2,FAIL,19,3.68,None
5c3f4379847796c4,4,FAIL,37,5.69,intersecting
bc71d833fad658fb,1,FAIL,16,3.20,rules
77da6edaa689f44a,2,FAIL,23,4.08,None
7326259652efbc9d,4,FAIL,45,6.59,intersecting
85f95e3fbcd76abb,3,FAIL,2,1.40,None
bb667cb09578b4a3,5,FAIL,53,7.71,None
ad8f394763490f26,3,FAIL,4,1.68,None
3d1c8a00f582892,3,FAIL,9,2.30,None
b10c07139b1aa490,1,FAIL,21,3.90,None
5d259263ec5a5c9e,4,FAIL,22,3.94,None
62d5ef592f8f91fc,3,FAIL,27,4.55,None
be49f0eca3cd4c32,1,FAIL,6,4.99,None
220246750ec56ccb,2,FAIL,10,2.49,None
f425a63fc423ced0,3,FAIL,17,3.46,intersecting
b3e3c52cd5223942,5,FAIL,34,5.71,None
ce576f59fcd8e5b5,4,FAIL,10,2.52,None
d71204c97803d9a,4,FAIL,27,6.82,None
cc4ff7682e293a1b,2,FAIL,46,6.94,intersecting
b25e33c50909fc03,2,FAIL,30,5.15,None
f271fc95525040b1,5,FAIL,104,13.11,intersecting
9390c84b6360b4bb,1,FAIL,9,2.41,None
a454bd9c3ad0168a,5,FAIL,39,6.28,None
db130c08db23e907,1,FAIL,26,4.58,None
5c59a67541d92c71,5,FAIL,73,10.43,intersecting
745deea1055373eb,3,FAIL,25,4.50,None
440d97e917325fb0,3,PASS,15,3.17,None
dbd181183bb9f775,4,FAIL,46,7.04,intersecting
fef8e390bd7a2a7a,5,FAIL,35,5.77,None
3987c3fc8d33089e,3,FAIL,32,5.38,None
851365be4fc5c5e,2,FAIL,16,3.30,None
e20e6b6a00158bdc,5,FAIL,22,4.14,None
841b2d97bb365b8b,4,FAIL,12,2.79,None
b4d66071dc728f44,2,FAIL,12,2.79,None
1e7c5367fa438e3b,5,FAIL,42,6.26,None
b8eb6f7dd1cc9b86,1,FAIL,20,3.51,None
1796837aa68c2b76,3,FAIL,24,4.12,None
598f03a76e659bbd,3,FAIL,20,3.51,None
a8ea92dd47f4186b,2,FAIL,24,4.12,None
a305fe218d16e612,4,FAIL,36,5.49,intersecting
d58e426a05bbebe0,4,FAIL,37,5.66,intersecting
95baf8b98ab6874,5,FAIL,5,1.59,None
d72e6e1a7317b676,4,FAIL,36,5.56,intersecting
b2888d9633744522,3,FAIL,31,4.89,None
fb69acc1bff1c7b5,2,FAIL,31,4.99,None
1b23ec5dcd81c575,2,FAIL,29,4.64,None
dedb9695c830d9a1,5,FAIL,43,6.38,intersecting
94e6829bc5fe599b,4,FAIL,35,5.54,intersecting
7f61e30cde11dfd2,5,FAIL,34,5.27,intersecting
ac07176ade6d4fcc,2,FAIL,43,6.48,intersecting
aecb916b87a88a32,3,FAIL,2,1.22,None
6a3a112c0f2e831b,5,FAIL,31,4.90,None
e836ae53a1a6b880,5,FAIL,14,2.76,None
58d9c6f1f97d78c1,2,FAIL,35,5.44,intersecting
10bea253035c791c,2,FAIL,37,5.97,intersecting
5569f16359d15a33,5,FAIL,45,7.11,None
d4af13ed1d455209,1,PASS,24,4.15,None
4efa50053369c63c,3,FAIL,44,6.63,intersecting
4088920d22fbc15a,2,FAIL,21,3.78,None
9ecc1e98360e6c0d,3,FAIL,33,5.32,None
8b47902d43ed5c7,3,FAIL,9,2.25,None
6911f7c1419318bb,4,FAIL,21,3.94,None
ed62498f9a7cf7a5,4,FAIL,36,5.77,intersecting
4b518615758126ef,3,FAIL,15,3.04,None
a2a967199664a80,4,FAIL,54,7.95,intersecting
93c544fa7b73dc1a,4,FAIL,51,7.33,intersecting
b54da7bdff2713e1,2,FAIL,9,2.25,None
2c5ddc804e5b35ba,1,FAIL,21,3.78,None
241a28965ab741d,1,PASS,11,2.50,None
4a5c32111bf61aae,5,FAIL,108,14.51,"disconnected, intersecting"
65171c970b77339e,2,FAIL,18,3.40,None
70c971586d6ab721,1,FAIL,17,3.27,None
dd196820fff0f585,2,FAIL,14,2.88,intersecting
683d3d2b64d8d1fb,4,FAIL,20,16.27,None
3ca9fa7e19e2188c,4,FAIL,23,3.84,None
581706995f65f93d,5,FAIL,52,7.18,intersecting
8f5dd8ca7b23f826,4,FAIL,8,1.97,None
4c6a9d610b717d17,3,FAIL,25,4.19,None
f701ba6827f8ceff,2,FAIL,16,2.99,None
24dd9a735b612dc1,3,FAIL,19,3.37,None
138e21433d2e6a52,2,FAIL,30,4.67,"disconnected, intersecting"
72a1fec5c73b6560,4,FAIL,35,5.25,None
86c16115d5cda6a0,5,FAIL,76,10.43,intersecting
2790e863a5831db9,3,FAIL,18,3.24,None
ab298046d34718be,5,FAIL,18,3.39,None
ad8274727f965b1c,1,FAIL,21,3.63,None
a722e79130881da0,2,FAIL,11,2.37,None
9435f4bc2b1cf34d,1,FAIL,5,4.34,None
2e4b26ec1c401cbe,4,FAIL,69,9.10,"start/end, intersecting"
8b308dfba88e4ac,3,FAIL,2,1.20,None
701d6d1daff25a25,2,FAIL,93,12.29,"start/end, intersecting"
f42b8d86bfb89096,1,FAIL,18,3.32,intersecting
c4341ab9fd5c439c,1,FAIL,11,2.36,None
97be11048bb04a30,3,FAIL,14,2.75,None
7f403db698db059f,1,PASS,10,2.19,None
9e892fbdd6f4c4a9,2,FAIL,12,2.47,None
b7672ba95aff4ff6,5,FAIL,45,6.50,intersecting
e0e6857dd441101b,2,FAIL,25,4.11,None
a12c7a055e6395a2,2,FAIL,5,4.62,None
e8f814f726cb4612,5,FAIL,24,3.97,None
fc19c4a5e89d29f4,4,FAIL,13,2.68,None
4ec9d16a5a573d4e,2,FAIL,16,2.98,None
8bbb1046d8c49095,1,FAIL,11,2.34,None
8e231f18dc7d476f,5,FAIL,34,5.29,None
50ed62dcb0f1bce3,4,FAIL,19,602.58,None
154515f7b4e4fe2b,2,PASS,3,1.33,None
1a43bd0f8e35bd1d,2,FAIL,15,2.87,None
281ee792644831c5,2,FAIL,27,4.35,None
c881c033239a38de,3,FAIL,58,7.92,intersecting
a92cdc81d7a94775,5,FAIL,29,4.58,intersecting
9283bfdf68bc92a8,2,FAIL,22,3.73,None
b7cbcba402c57078,2,FAIL,33,5.04,intersecting
11846421c28ce2aa,4,FAIL,44,6.49,intersecting
2a0e2b1240764998,4,FAIL,23,3.85,intersecting
577d6771b88eca36,3,FAIL,31,4.73,None
9c31840855436adc,5,FAIL,44,6.42,None
495da6f2a1c1f750,5,FAIL,22,3.79,intersecting
544628c3b3077982,5,FAIL,20,3.47,None
95bd7bebb5849554,2,FAIL,20,3.44,None
5daa7098e5e15b8a,3,FAIL,28,4.49,None
2d360e53c1cbf48e,2,FAIL,61,8.11,"intersecting, rules"
ad210a7535f9228a,3,FAIL,27,4.30,"start/end, intersecting"
4d1f8e4f341d8ba,2,FAIL,17,3.09,None
c0bf87685a69078a,2,FAIL,14,2.70,None
e155b38ad467ae03,5,FAIL,11,2.51,None
525f7011d139f68e,1,PASS,19,3.34,None
85ace8079f2972ab,3,FAIL,23,3.83,None
d79be6059dc29292,2,FAIL,22,3.71,None
bc2d315cd19b8b76,3,FAIL,36,5.92,intersecting
336018fab47f526a,2,FAIL,33,5.08,None
9a0559017cacdd9c,1,FAIL,14,2.70,None
5d4260bea3b7d613,1,PASS,10,2.18,None
14738c1f0e0cf17e,2,FAIL,35,5.21,intersecting
23f41583d9fe02ee,2,FAIL,17,3.08,None
58acf96418610e19,5,FAIL,605,67.88,"start/end, intersecting"
624d40ea5ad58707,2,FAIL,21,3.94,None
9ec88d42d75e54fd,3,FAIL,9,2.26,None
476e3c927a845ee2,3,FAIL,8,2.14,None
664bfd4472be694f,2,FAIL,30,5.02,None
caa32446dc7ead46,2,FAIL,15,3.03,None
4fda11641a1a910d,2,FAIL,22,4.00,None
3e3df50762cc36ec,5,FAIL,44,6.63,None
25d54c7266e20657,1,FAIL,14,2.90,rules
6989cd6ab3949a4f,3,FAIL,26,4.43,intersecting
590618124bd8505f,1,FAIL,8,2.15,None
a467089dbb60a183,2,FAIL,12,2.73,None
d7085f61b66ce173,3,FAIL,27,4.55,None
f435579761647ddf,3,FAIL,34,5.35,intersecting
feae5b1edd06f1d8,3,FAIL,52,7.39,intersecting
d68b4a78a6f0565e,4,FAIL,25,4.28,None
4aef1ec8290c118,3,FAIL,34,5.36,intersecting
274e23e5326cd99e,3,FAIL,27,4.53,None
cea6e767c4288aaa,5,FAIL,40,6.24,"intersecting, rules"
a4c2176205e2a4a2,5,FAIL,77,10.28,intersecting
a3e158fe8036aa90,1,FAIL,14,2.69,None
98325269e7bc1977,2,FAIL,10,2.19,None
8dc55e8d130ea293,3,FAIL,26,4.17,intersecting
e090440b02df7219,3,FAIL,25,4.05,None
f758efc83c595b04,3,FAIL,23,3.86,None
ac7626649901d917,5,FAIL,75,9.81,intersecting
cb28e0534aa0b063,2,FAIL,56,7.58,intersecting
b7b14b2fbd23c24b,1,FAIL,18,3.22,None
f7c670905617d0e2,3,PASS,24,3.95,None
cc060a01c6f06fab,1,FAIL,15,2.85,None
a8a6d541abcb65e9,5,FAIL,26,5.57,None
703d0229f69d6415,5,FAIL,10,7.07,None
608f0139a3c6e1de,3,FAIL,54,7.52,intersecting
83e85cc51ea9b2fb,5,FAIL,22,3.79,None
899bbb366dc44689,3,FAIL,19,3.42,intersecting
c8b18eeabcd973f1,1,FAIL,11,2.33,None
da30abc42943f24c,3,FAIL,15,2.84,None
e399bce353272491,5,FAIL,4,1.43,None
7306458c0105872e,5,FAIL,18,3.38,None
e605eb2515ac4bfe,5,FAIL,9,2.07,None
2f52e830064190c4,1,FAIL,11,2.37,None
226fd6aa76fd90b5,3,FAIL,25,4.20,None
70bb35cbdc82f22d,4,FAIL,30,4.84,None
c92372bd94215032,3,FAIL,16,3.02,None
7490b794631b985e,5,FAIL,21,3.85,None
82877e44b5aa0795,1,FAIL,2,1.23,None
5f0427651d0b984c,2,FAIL,12,2.54,None
a6aca58a3edafcc2,3,FAIL,21,3.64,None
b9f806a3aba3a370,5,FAIL,35,5.43,None
6663c8ddf3565b3f,5,FAIL,25,4.19,None
df855ae9d3a12db5,2,FAIL,13,4.83,None
fea07309116da353,3,FAIL,28,4.50,None
10aae2671ff44dc2,5,FAIL,36,5.50,None
b40b772a9ef00980,1,PASS,10,2.26,None
cf9dfd87180659b,4,FAIL,35,5.39,intersecting
c2f1726c32030b96,2,PASS,16,3.03,None
51b9bb5cdf4abfef,3,FAIL,42,6.10,intersecting
820399c7eebb39c2,3,FAIL,11,2.40,None
58fff3d41575caab,4,FAIL,10,2.34,rules
fed3e5eff97750d6,2,FAIL,8,2.02,None
fa1114b465eb178,2,FAIL,15,4.10,None
611f87b14c17edb2,4,FAIL,8,1.96,None
d182949e859cba4f,2,FAIL,51,7.22,intersecting
cdb63ede036474c5,4,FAIL,35,5.32,intersecting
851fd63e172dbba0,4,FAIL,78,9.88,"intersecting, rules"
4de04b3c4d15b5d5,3,FAIL,22,3.71,None
95916b71a3f794ff,2,FAIL,18,3.24,None
e960398c9fbd29fe,3,FAIL,16,2.99,None
9a5dbca10f5418db,2,FAIL,7,1.82,None
857ae50f99d9f3ac,2,FAIL,22,3.85,None
a2106593071eb66a,4,FAIL,13,2.59,None
95fc27b34533357d,5,FAIL,9,2.08,None
27a3f4a05594287b,2,FAIL,21,3.61,None
8676d8ef338255d2,4,FAIL,36,5.60,intersecting
519594536d60e115,2,FAIL,31,4.82,intersecting
cecbbabf056d148c,3,FAIL,19,3.42,None
9cddf98975ee77a2,3,FAIL,22,3.77,None
969355c609397327,4,FAIL,38,5.57,None
92e56e8b713d5c9d,5,FAIL,29,4.60,None
13363083e52f42ac,5,FAIL,21,3.60,None
d22b1d7fd116be8b,3,FAIL,24,4.08,None
1bf8d47b32b9b719,3,FAIL,7,7.81,None
d170cc270db4f272,1,FAIL,17,3.14,None
8f1f819d287a3bb2,4,FAIL,47,6.64,intersecting
e10bd3e5d6963967,3,FAIL,27,4.36,intersecting
5b6ee1f3e4e114a7,3,FAIL,7,5.06,None
2691c37dd4b921ae,4,FAIL,29,4.61,intersecting
1d13ef360a0d5ca5,1,FAIL,19,3.37,None
1f85eacd72d02d23,5,FAIL,29,4.69,intersecting
9b274fcf3ed44212,1,FAIL,21,3.62,None
df15fe6ed4dd7df0,3,FAIL,26,4.26,None
52df57cc84fbc153,5,FAIL,65,8.87,intersecting
cef4eaa4525b4d4a,1,FAIL,7,1.81,None
2cdfbd4a9f364513,2,FAIL,23,3.87,None
1ef0bc42f42911b,5,FAIL,36,5.51,intersecting
c94de1c651355827,3,FAIL,15,2.87,None
5faeb260f219d74a,3,FAIL,22,3.76,None
f50e2570d6d028f4,3,FAIL,12,2.48,None
8c2ad5e4cfbbc016,4,FAIL,21,3.70,None
dea5ab3b33019569,4,FAIL,40,6.00,intersecting
22f2c48bcc4ce64f,2,FAIL,13,2.64,None
6be507c084e691cb,2,FAIL,13,2.60,None
7952d255b6ea209c,4,FAIL,50,6.95,intersecting
ebcbfd4fa2867c42,2,FAIL,27,4.38,None
3a6ba4ffd84fc4c1,5,FAIL,28,4.50,None
93a638921305725f,4,FAIL,47,8.28,intersecting
