Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,79.71,None
ebc9c10093a1255a,3,FAIL,8,40.18,None
ed40414d615431d6,3,FAIL,6,49.82,None
dce20e150e7fcced,5,FAIL,23,103.88,None
3fe8a85b768ae5b7,1,FAIL,2,89.60,None
1284a7249a4fa10f,3,FAIL,5,60.29,None
cbeb87b359947c42,3,FAIL,10,60.85,None
c80d64b5c5e39d7b,5,FAIL,12,45.85,None
24e8876585456ee5,5,FAIL,5,57.84,None
196a88635b1c83b4,4,FAIL,6,47.47,None
e82bd665d710bb75,2,FAIL,11,44.41,None
c6739963a7308111,3,PASS,9,54.64,None
953c10f2e4d6fd6,2,PASS,2,33.41,None
d91761f3ba340d,4,FAIL,14,71.88,None
bc66c2e18fd6231b,3,FAIL,9,59.48,None
4b236c53ea5fbbdf,3,FAIL,6,64.44,None
5f9a92945a4ab62e,1,FAIL,8,40.22,None
860fbc1cfd446f7c,3,FAIL,8,59.73,None
5b5d43da944a752d,4,PASS,10,85.05,None
971ad9f45d1bd53b,5,FAIL,29,92.34,None
5b3d4d35ac301050,2,FAIL,14,47.79,None
69a08c785ce5fcac,1,PASS,7,47.04,None
a814bed4f6905ba4,5,FAIL,15,48.18,None
f32fe4e5b37fedaa,5,FAIL,23,75.70,None
3ba7fc567dd14312,3,FAIL,9,76.67,None
7ce0b04c1a28cca6,1,FAIL,17,56.37,None
8635ff1b1bcf0c2e,5,FAIL,8,51.29,None
21df75919e7080e4,3,FAIL,9,39.09,None
daa2db8c01da0bfa,5,FAIL,11,55.28,None
6443d25f8c289548,3,FAIL,4,52.59,None
91158b440e1d1942,5,FAIL,10,61.93,None
1ba6ec5d1f0c3bc6,2,FAIL,12,55.73,None
de0f40e0c4c5852a,4,FAIL,24,66.09,None
7c2cc9e25acdc10f,4,FAIL,10,48.78,None
146a216115846f70,5,FAIL,12,52.04,None
704931925890a56c,2,FAIL,4,65.92,None
22c41f4911d10461,3,FAIL,20,62.42,None
75761871763e88e3,2,FAIL,11,44.70,None
fee7fa98ecbf4534,1,PASS,7,59.35,None
3abef01e5d890e13,4,PASS,16,52.87,None
a71c3513799bf094,2,FAIL,3,25.81,None
3b229c1d0453a603,3,FAIL,3,55.64,None
ba867d9c182c1124,1,FAIL,6,38.35,None
22ee8177bb6b927d,4,FAIL,12,55.29,None
200a2fdec77f69b6,1,PASS,10,63.23,None
4c7b5bd02c9270d,3,FAIL,13,62.27,None
efb560f2141edf82,1,PASS,4,29.25,None
b7b817f9033f188,5,FAIL,16,51.42,None
