Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,24,183.60,"disconnected, rules"
ebc9c10093a1255a,3,FAIL,26,117.35,None
ed40414d615431d6,3,FAIL,8,123.08,None
dce20e150e7fcced,5,FAIL,29,161.84,rules
3fe8a85b768ae5b7,1,FAIL,24,101.67,None
1284a7249a4fa10f,3,FAIL,25,170.68,None
cbeb87b359947c42,3,FAIL,20,173.98,None
c80d64b5c5e39d7b,5,FAIL,12,99.80,None
24e8876585456ee5,5,FAIL,37,167.65,"intersecting, rules"
196a88635b1c83b4,4,FAIL,12,139.14,None
e82bd665d710bb75,2,FAIL,11,154.49,None
c6739963a7308111,3,FAIL,14,143.49,disconnected
953c10f2e4d6fd6,2,PASS,2,94.84,None
d91761f3ba340d,4,FAIL,18,110.46,None
bc66c2e18fd6231b,3,FAIL,9,103.75,None
4b236c53ea5fbbdf,3,FAIL,27,164.06,"disconnected, intersecting, rules"
5f9a92945a4ab62e,1,FAIL,10,130.41,None
860fbc1cfd446f7c,3,FAIL,20,149.44,None
5b5d43da944a752d,4,PASS,12,164.37,None
971ad9f45d1bd53b,5,FAIL,18,161.93,disconnected
5b3d4d35ac301050,2,PASS,12,87.83,None
69a08c785ce5fcac,1,FAIL,10,104.78,disconnected
a814bed4f6905ba4,5,FAIL,17,151.35,rules
f32fe4e5b37fedaa,5,FAIL,27,170.77,None
3ba7fc567dd14312,3,FAIL,13,102.10,rules
7ce0b04c1a28cca6,1,PASS,25,153.10,None
8635ff1b1bcf0c2e,5,FAIL,28,185.68,"intersecting, rules"
21df75919e7080e4,3,PASS,9,92.67,None
daa2db8c01da0bfa,5,FAIL,23,142.53,None
6443d25f8c289548,3,FAIL,4,130.59,None
91158b440e1d1942,5,FAIL,12,136.13,None
1ba6ec5d1f0c3bc6,2,FAIL,30,191.40,intersecting
de0f40e0c4c5852a,4,FAIL,8,141.99,rules
7c2cc9e25acdc10f,4,FAIL,43,199.73,"disconnected, intersecting, rules"
146a216115846f70,5,FAIL,15,161.01,disconnected
704931925890a56c,2,FAIL,14,153.24,None
22c41f4911d10461,3,FAIL,39,147.48,"disconnected, intersecting, rules"
75761871763e88e3,2,FAIL,17,159.81,disconnected
fee7fa98ecbf4534,1,PASS,7,104.90,None
3abef01e5d890e13,4,FAIL,22,138.82,None
