"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_connected_line/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_connected_line/mean__MAX"
"0.02","","","","","","","","","","","","","130","130","130","0.825","0.825","0.825","130","130","130","0.55","0.55","0.55","","","","","","","","","","","","","130","130","130","0.7","0.7","0.7","130","130","130","0.8","0.8","0.8"
"0.04","","","","","","","130","130","130","0.575","0.575","0.575","261","261","261","0.775","0.775","0.775","261","261","261","0.5","0.5","0.5","","","","","","","130","130","130","0.5875","0.5875","0.5875","261","261","261","0.675","0.675","0.675","261","261","261","0.825","0.825","0.825"
"0.059880239520958084","130","130","130","0.1583333358168602","0.1583333358168602","0.1583333358168602","","","","","","","","","","","","","","","","","","","130","130","130","0.16666666865348817","0.16666666865348817","0.16666666865348817","","","","","","","","","","","","","","","","","",""
"0.06","","","","","","","","","","","","","392","392","392","0.75","0.75","0.75","392","392","392","0.475","0.475","0.475","","","","","","","","","","","","","392","392","392","0.625","0.625","0.625","392","392","392","0.85","0.85","0.85"
"0.08","","","","","","","261","261","261","0.4375","0.4375","0.4375","523","523","523","0.825","0.825","0.825","523","523","523","0.575","0.575","0.575","","","","","","","261","261","261","0.4875","0.4875","0.4875","523","523","523","0.55","0.55","0.55","523","523","523","0.825","0.825","0.825"
"0.1","","","","","","","","","","","","","654","654","654","0.9","0.9","0.9","654","654","654","0.5","0.5","0.5","","","","","","","","","","","","","654","654","654","0.55","0.55","0.55","654","654","654","0.925","0.925","0.925"
"0.11976047904191617","261","261","261","0.1416666679084301","0.1416666679084301","0.1416666679084301","","","","","","","","","","","","","","","","","","","261","261","261","0.21666666865348816","0.21666666865348816","0.21666666865348816","","","","","","","","","","","","","","","","","",""
"0.12","","","","","","","392","392","392","0.55","0.55","0.55","785","785","785","0.875","0.875","0.875","785","785","785","0.675","0.675","0.675","","","","","","","392","392","392","0.5875","0.5875","0.5875","785","785","785","0.6","0.6","0.6","785","785","785","0.925","0.925","0.925"
"0.14","","","","","","","","","","","","","916","916","916","0.8","0.8","0.8","916","916","916","0.5","0.5","0.5","","","","","","","","","","","","","916","916","916","0.475","0.475","0.475","916","916","916","0.95","0.95","0.95"
"0.16","","","","","","","523","523","523","0.425","0.425","0.425","1047","1047","1047","0.875","0.875","0.875","1047","1047","1047","0.5","0.5","0.5","","","","","","","523","523","523","0.475","0.475","0.475","1047","1047","1047","0.45","0.45","0.45","1047","1047","1047","0.925","0.925","0.925"
"0.17964071856287425","392","392","392","0.22500000074505805","0.22500000074505805","0.22500000074505805","","","","","","","","","","","","","","","","","","","392","392","392","0.13333333507180214","0.13333333507180214","0.13333333507180214","","","","","","","","","","","","","","","","","",""
"0.18","","","","","","","","","","","","","1178","1178","1178","0.8","0.8","0.8","1178","1178","1178","0.675","0.675","0.675","","","","","","","","","","","","","1178","1178","1178","0.65","0.65","0.65","1178","1178","1178","0.8","0.8","0.8"
"0.2","","","","","","","654","654","654","0.4375","0.4375","0.4375","1309","1309","1309","0.875","0.875","0.875","1309","1309","1309","0.7","0.7","0.7","","","","","","","654","654","654","0.55","0.55","0.55","1309","1309","1309","0.775","0.775","0.775","1309","1309","1309","0.95","0.95","0.95"
"0.22","","","","","","","","","","","","","1440","1440","1440","0.75","0.75","0.75","1440","1440","1440","0.675","0.675","0.675","","","","","","","","","","","","","1440","1440","1440","0.7","0.7","0.7","1440","1440","1440","0.925","0.925","0.925"
"0.23952095808383234","523","523","523","0.17500000298023224","0.17500000298023224","0.17500000298023224","","","","","","","","","","","","","","","","","","","523","523","523","0.1250000014901161","0.1250000014901161","0.1250000014901161","","","","","","","","","","","","","","","","","",""
"0.24","","","","","","","785","785","785","0.5875","0.5875","0.5875","1571","1571","1571","0.825","0.825","0.825","1571","1571","1571","0.75","0.75","0.75","","","","","","","785","785","785","0.6625","0.6625","0.6625","1571","1571","1571","0.7","0.7","0.7","1571","1571","1571","1","1","1"
"0.26","","","","","","","","","","","","","1702","1702","1702","0.9","0.9","0.9","1702","1702","1702","0.775","0.775","0.775","","","","","","","","","","","","","1702","1702","1702","0.8","0.8","0.8","1702","1702","1702","1","1","1"
"0.28","","","","","","","916","916","916","0.5125","0.5125","0.5125","1833","1833","1833","0.85","0.85","0.85","1833","1833","1833","0.625","0.625","0.625","","","","","","","916","916","916","0.7375","0.7375","0.7375","1833","1833","1833","0.725","0.725","0.725","1833","1833","1833","0.95","0.95","0.95"
"0.2994011976047904","654","654","654","0.2083333358168602","0.2083333358168602","0.2083333358168602","","","","","","","","","","","","","","","","","","","654","654","654","0.10000000298023223","0.10000000298023223","0.10000000298023223","","","","","","","","","","","","","","","","","",""
"0.3","","","","","","","","","","","","","1964","1964","1964","0.725","0.725","0.725","1964","1964","1964","0.8","0.8","0.8","","","","","","","","","","","","","1964","1964","1964","0.7","0.7","0.7","1964","1964","1964","0.925","0.925","0.925"
"0.32","","","","","","","1047","1047","1047","0.6625","0.6625","0.6625","2095","2095","2095","0.65","0.65","0.65","2095","2095","2095","0.575","0.575","0.575","","","","","","","1047","1047","1047","0.8","0.8","0.8","2095","2095","2095","0.55","0.55","0.55","2095","2095","2095","0.95","0.95","0.95"
"0.34","","","","","","","","","","","","","2226","2226","2226","0.775","0.775","0.775","2226","2226","2226","0.825","0.825","0.825","","","","","","","","","","","","","2226","2226","2226","0.775","0.775","0.775","2226","2226","2226","0.975","0.975","0.975"
"0.3592814371257485","785","785","785","0.1916666679084301","0.1916666679084301","0.1916666679084301","","","","","","","","","","","","","","","","","","","785","785","785","0.14166666865348815","0.14166666865348815","0.14166666865348815","","","","","","","","","","","","","","","","","",""
"0.36","","","","","","","1178","1178","1178","0.575","0.575","0.575","2357","2357","2357","0.875","0.875","0.875","2357","2357","2357","0.6","0.6","0.6","","","","","","","1178","1178","1178","0.75","0.75","0.75","2357","2357","2357","0.475","0.475","0.475","2357","2357","2357","0.9","0.9","0.9"
"0.38","","","","","","","","","","","","","2488","2488","2488","0.825","0.825","0.825","2488","2488","2488","0.85","0.85","0.85","","","","","","","","","","","","","2488","2488","2488","0.825","0.825","0.825","2488","2488","2488","0.95","0.95","0.95"
"0.4","","","","","","","1309","1309","1309","0.6875","0.6875","0.6875","2619","2619","2619","0.825","0.825","0.825","2619","2619","2619","0.875","0.875","0.875","","","","","","","1309","1309","1309","0.775","0.775","0.775","2619","2619","2619","0.675","0.675","0.675","2619","2619","2619","0.9","0.9","0.9"
