"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_format_hint/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_format_hint/mean__MAX"
"0.02","","","","","","","","","","","","","130","130","130","1","1","1","130","130","130","0.625","0.625","0.625","","","","","","","","","","","","","130","130","130","0.75","0.75","0.75","130","130","130","0.975","0.975","0.975"
"0.04","","","","","","","130","130","130","0.5375","0.5375","0.5375","261","261","261","0.975","0.975","0.975","261","261","261","0.575","0.575","0.575","","","","","","","130","130","130","0.6125","0.6125","0.6125","261","261","261","0.7","0.7","0.7","261","261","261","1","1","1"
"0.059880239520958084","130","130","130","0.11666667014360428","0.11666667014360428","0.11666667014360428","","","","","","","","","","","","","","","","","","","130","130","130","0.1083333358168602","0.1083333358168602","0.1083333358168602","","","","","","","","","","","","","","","","","",""
"0.06","","","","","","","","","","","","","392","392","392","1","1","1","392","392","392","0.6","0.6","0.6","","","","","","","","","","","","","392","392","392","0.675","0.675","0.675","392","392","392","1","1","1"
"0.08","","","","","","","261","261","261","0.4375","0.4375","0.4375","523","523","523","1","1","1","523","523","523","0.6","0.6","0.6","","","","","","","261","261","261","0.5375","0.5375","0.5375","523","523","523","0.575","0.575","0.575","523","523","523","1","1","1"
"0.1","","","","","","","","","","","","","654","654","654","1","1","1","654","654","654","0.475","0.475","0.475","","","","","","","","","","","","","654","654","654","0.575","0.575","0.575","654","654","654","1","1","1"
"0.11976047904191617","261","261","261","0.07500000223517418","0.07500000223517418","0.07500000223517418","","","","","","","","","","","","","","","","","","","261","261","261","0.17500000298023224","0.17500000298023224","0.17500000298023224","","","","","","","","","","","","","","","","","",""
"0.12","","","","","","","392","392","392","0.5375","0.5375","0.5375","785","785","785","1","1","1","785","785","785","0.575","0.575","0.575","","","","","","","392","392","392","0.575","0.575","0.575","785","785","785","0.625","0.625","0.625","785","785","785","1","1","1"
"0.14","","","","","","","","","","","","","916","916","916","0.975","0.975","0.975","916","916","916","0.55","0.55","0.55","","","","","","","","","","","","","916","916","916","0.5","0.5","0.5","916","916","916","1","1","1"
"0.16","","","","","","","523","523","523","0.425","0.425","0.425","1047","1047","1047","1","1","1","1047","1047","1047","0.625","0.625","0.625","","","","","","","523","523","523","0.475","0.475","0.475","1047","1047","1047","0.575","0.575","0.575","1047","1047","1047","1","1","1"
"0.17964071856287425","392","392","392","0.1833333358168602","0.1833333358168602","0.1833333358168602","","","","","","","","","","","","","","","","","","","392","392","392","0.1166666679084301","0.1166666679084301","0.1166666679084301","","","","","","","","","","","","","","","","","",""
"0.18","","","","","","","","","","","","","1178","1178","1178","1","1","1","1178","1178","1178","0.7","0.7","0.7","","","","","","","","","","","","","1178","1178","1178","0.7","0.7","0.7","1178","1178","1178","1","1","1"
