"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/completions/mean_terminated_length","Qwen/Qwen3-32B-low-format - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-32B-low-format - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/completions/mean_terminated_length","Qwen/Qwen3-14B-low-format - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-14B-low-format - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/completions/mean_terminated_length","Qwen/Qwen3-0.6B-low-format - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-0.6B-low-format - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/completions/mean_terminated_length","Qwen/Qwen3-4B-low-format - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-4B-low-format - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/completions/mean_terminated_length","Qwen/Qwen3-32B - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-32B - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/completions/mean_terminated_length","Qwen/Qwen3-14B - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-14B - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/completions/mean_terminated_length","Qwen/Qwen3-4B - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-4B - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/completions/mean_terminated_length","Qwen/Qwen3-0.6B - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-0.6B - train/completions/mean_terminated_length__MAX"
"0.02","","","","","","","","","","","","","130","130","130","4279.8","4279.8","4279.8","130","130","130","7576.7","7576.7","7576.7","","","","","","","","","","","","","130","130","130","7608.650048828125","7608.650048828125","7608.650048828125","130","130","130","4185.225","4185.225","4185.225"
"0.04","","","","","","","130","130","130","7719.5431640625","7719.5431640625","7719.5431640625","261","261","261","4622.575","4622.575","4622.575","261","261","261","7118.90009765625","7118.90009765625","7118.90009765625","","","","","","","130","130","130","7002.285009765625","7002.285009765625","7002.285009765625","261","261","261","7347.325","7347.325","7347.325","261","261","261","4300.45","4300.45","4300.45"
"0.059880239520958084","130","130","130","6684.575","6684.575","6684.575","","","","","","","","","","","","","","","","","","","130","130","130","5939.79169921875","5939.79169921875","5939.79169921875","","","","","","","","","","","","","","","","","",""
"0.06","","","","","","","","","","","","","392","392","392","4557.1","4557.1","4557.1","392","392","392","6731.80009765625","6731.80009765625","6731.80009765625","","","","","","","","","","","","","392","392","392","7304.14169921875","7304.14169921875","7304.14169921875","392","392","392","4501.325","4501.325","4501.325"
"0.08","","","","","","","261","261","261","7057.740185546875","7057.740185546875","7057.740185546875","523","523","523","4189.65","4189.65","4189.65","523","523","523","5628.525","5628.525","5628.525","","","","","","","261","261","261","6791.3423828125","6791.3423828125","6791.3423828125","523","523","523","6937.575","6937.575","6937.575","523","523","523","4225.25","4225.25","4225.25"
"0.1","","","","","","","","","","","","","654","654","654","3978.55","3978.55","3978.55","654","654","654","6844.500048828125","6844.500048828125","6844.500048828125","","","","","","","","","","","","","654","654","654","5796.925048828125","5796.925048828125","5796.925048828125","654","654","654","4276.225","4276.225","4276.225"
"0.11976047904191617","261","261","261","7654.133349609375","7654.133349609375","7654.133349609375","","","","","","","","","","","","","","","","","","","261","261","261","8782.9333984375","8782.9333984375","8782.9333984375","","","","","","","","","","","","","","","","","",""
"0.12","","","","","","","392","392","392","6395.95419921875","6395.95419921875","6395.95419921875","785","785","785","4050.85","4050.85","4050.85","785","785","785","5663.858349609375","5663.858349609375","5663.858349609375","","","","","","","392","392","392","7744.935986328125","7744.935986328125","7744.935986328125","785","785","785","6626.633349609375","6626.633349609375","6626.633349609375","785","785","785","3942.95","3942.95","3942.95"
"0.14","","","","","","","","","","","","","916","916","916","3781.45","3781.45","3781.45","916","916","916","6713.766796875","6713.766796875","6713.766796875","","","","","","","","","","","","","916","916","916","6541.558349609375","6541.558349609375","6541.558349609375","916","916","916","4363.125","4363.125","4363.125"
"0.16","","","","","","","523","523","523","7145.6904296875","7145.6904296875","7145.6904296875","1047","1047","1047","4023.25","4023.25","4023.25","1047","1047","1047","7114.383349609375","7114.383349609375","7114.383349609375","","","","","","","523","523","523","7161.69326171875","7161.69326171875","7161.69326171875","1047","1047","1047","6132.7583984375","6132.7583984375","6132.7583984375","1047","1047","1047","4484.4","4484.4","4484.4"
