"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_no_rule_crossing/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_no_rule_crossing/mean__MAX"
"0.02","","","","","","","","","","","","","130","130","130","0.85","0.85","0.85","130","130","130","0.875","0.875","0.875","","","","","","","","","","","","","130","130","130","0.825","0.825","0.825","130","130","130","0.775","0.775","0.775"
"0.04","","","","","","","130","130","130","0.8375","0.8375","0.8375","261","261","261","0.775","0.775","0.775","261","261","261","0.85","0.85","0.85","","","","","","","130","130","130","0.825","0.825","0.825","261","261","261","0.95","0.95","0.95","261","261","261","0.9","0.9","0.9"
"0.059880239520958084","130","130","130","0.9","0.9","0.9","","","","","","","","","","","","","","","","","","","130","130","130","0.925","0.925","0.925","","","","","","","","","","","","","","","","","",""
"0.06","","","","","","","","","","","","","392","392","392","0.75","0.75","0.75","392","392","392","0.85","0.85","0.85","","","","","","","","","","","","","392","392","392","0.875","0.875","0.875","392","392","392","0.775","0.775","0.775"
"0.08","","","","","","","261","261","261","0.7875","0.7875","0.7875","523","523","523","0.825","0.825","0.825","523","523","523","0.9","0.9","0.9","","","","","","","261","261","261","0.8","0.8","0.8","523","523","523","0.975","0.975","0.975","523","523","523","0.875","0.875","0.875"
"0.1","","","","","","","","","","","","","654","654","654","0.8","0.8","0.8","654","654","654","0.8","0.8","0.8","","","","","","","","","","","","","654","654","654","0.825","0.825","0.825","654","654","654","0.85","0.85","0.85"
"0.11976047904191617","261","261","261","0.9250000059604645","0.9250000059604645","0.9250000059604645","","","","","","","","","","","","","","","","","","","261","261","261","0.8833333432674408","0.8833333432674408","0.8833333432674408","","","","","","","","","","","","","","","","","",""
"0.12","","","","","","","392","392","392","0.7","0.7","0.7","785","785","785","0.95","0.95","0.95","785","785","785","0.95","0.95","0.95","","","","","","","392","392","392","0.7875","0.7875","0.7875","785","785","785","0.95","0.95","0.95","785","785","785","0.925","0.925","0.925"
"0.14","","","","","","","","","","","","","916","916","916","0.875","0.875","0.875","916","916","916","0.75","0.75","0.75","","","","","","","","","","","","","916","916","916","0.625","0.625","0.625","916","916","916","0.95","0.95","0.95"
"0.16","","","","","","","523","523","523","0.7625","0.7625","0.7625","1047","1047","1047","0.775","0.775","0.775","1047","1047","1047","0.85","0.85","0.85","","","","","","","523","523","523","0.7125","0.7125","0.7125","1047","1047","1047","0.9","0.9","0.9","1047","1047","1047","0.825","0.825","0.825"
"0.17964071856287425","392","392","392","0.85","0.85","0.85","","","","","","","","","","","","","","","","","","","392","392","392","0.8583333373069764","0.8583333373069764","0.8583333373069764","","","","","","","","","","","","","","","","","",""
"0.18","","","","","","","","","","","","","1178","1178","1178","0.65","0.65","0.65","1178","1178","1178","0.825","0.825","0.825","","","","","","","","","","","","","1178","1178","1178","0.85","0.85","0.85","1178","1178","1178","0.9","0.9","0.9"
"0.2","","","","","","","654","654","654","0.825","0.825","0.825","1309","1309","1309","0.9","0.9","0.9","1309","1309","1309","0.9","0.9","0.9","","","","","","","654","654","654","0.7625","0.7625","0.7625","1309","1309","1309","0.975","0.975","0.975","1309","1309","1309","0.95","0.95","0.95"
"0.22","","","","","","","","","","","","","1440","1440","1440","0.95","0.95","0.95","1440","1440","1440","0.8","0.8","0.8","","","","","","","","","","","","","1440","1440","1440","0.875","0.875","0.875","1440","1440","1440","0.95","0.95","0.95"
"0.23952095808383234","523","523","523","0.9000000119209289","0.9000000119209289","0.9000000119209289","","","","","","","","","","","","","","","","","","","523","523","523","0.925000011920929","0.925000011920929","0.925000011920929","","","","","","","","","","","","","","","","","",""
"0.24","","","","","","","785","785","785","0.775","0.775","0.775","1571","1571","1571","0.85","0.85","0.85","1571","1571","1571","0.9","0.9","0.9","","","","","","","785","785","785","0.7625","0.7625","0.7625","1571","1571","1571","0.825","0.825","0.825","1571","1571","1571","0.925","0.925","0.925"
"0.26","","","","","","","","","","","","","1702","1702","1702","0.775","0.775","0.775","1702","1702","1702","0.85","0.85","0.85","","","","","","","","","","","","","1702","1702","1702","0.775","0.775","0.775","1702","1702","1702","0.925","0.925","0.925"
"0.28","","","","","","","916","916","916","0.775","0.775","0.775","1833","1833","1833","0.775","0.775","0.775","1833","1833","1833","0.725","0.725","0.725","","","","","","","916","916","916","0.675","0.675","0.675","1833","1833","1833","0.9","0.9","0.9","1833","1833","1833","0.95","0.95","0.95"
"0.2994011976047904","654","654","654","0.8583333373069764","0.8583333373069764","0.8583333373069764","","","","","","","","","","","","","","","","","","","654","654","654","0.9250000059604645","0.9250000059604645","0.9250000059604645","","","","","","","","","","","","","","","","","",""
"0.3","","","","","","","","","","","","","1964","1964","1964","0.65","0.65","0.65","1964","1964","1964","0.875","0.875","0.875","","","","","","","","","","","","","1964","1964","1964","0.95","0.95","0.95","1964","1964","1964","0.95","0.95","0.95"
"0.32","","","","","","","1047","1047","1047","0.825","0.825","0.825","2095","2095","2095","0.625","0.625","0.625","2095","2095","2095","0.8","0.8","0.8","","","","","","","1047","1047","1047","0.7125","0.7125","0.7125","2095","2095","2095","0.8","0.8","0.8","2095","2095","2095","0.95","0.95","0.95"
