"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_perfect_solution/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_perfect_solution/mean__MAX"
"0.02","","","","","","","","","","","","","130","130","130","0","0","0","130","130","130","0.075","0.075","0.075","","","","","","","","","","","","","130","130","130","0.025","0.025","0.025","130","130","130","0.025","0.025","0.025"
"0.04","","","","","","","130","130","130","0.0375","0.0375","0.0375","261","261","261","0","0","0","261","261","261","0.075","0.075","0.075","","","","","","","130","130","130","0.05","0.05","0.05","261","261","261","0","0","0","261","261","261","0","0","0"
"0.059880239520958084","130","130","130","0.03333333432674408","0.03333333432674408","0.03333333432674408","","","","","","","","","","","","","","","","","","","130","130","130","0.02500000074505806","0.02500000074505806","0.02500000074505806","","","","","","","","","","","","","","","","","",""
"0.06","","","","","","","","","","","","","392","392","392","0","0","0","392","392","392","0.05","0.05","0.05","","","","","","","","","","","","","392","392","392","0.05","0.05","0.05","392","392","392","0","0","0"
"0.08","","","","","","","261","261","261","0.075","0.075","0.075","523","523","523","0","0","0","523","523","523","0","0","0","","","","","","","261","261","261","0.0625","0.0625","0.0625","523","523","523","0","0","0","523","523","523","0","0","0"
"0.1","","","","","","","","","","","","","654","654","654","0","0","0","654","654","654","0.075","0.075","0.075","","","","","","","","","","","","","654","654","654","0.075","0.075","0.075","654","654","654","0","0","0"
"0.11976047904191617","261","261","261","0.03333333432674408","0.03333333432674408","0.03333333432674408","","","","","","","","","","","","","","","","","","","261","261","261","0.01666666716337204","0.01666666716337204","0.01666666716337204","","","","","","","","","","","","","","","","","",""
"0.12","","","","","","","392","392","392","0.05","0.05","0.05","785","785","785","0","0","0","785","785","785","0","0","0","","","","","","","392","392","392","0.0375","0.0375","0.0375","785","785","785","0.025","0.025","0.025","785","785","785","0","0","0"
"0.14","","","","","","","","","","","","","916","916","916","0.025","0.025","0.025","916","916","916","0.2","0.2","0.2","","","","","","","","","","","","","916","916","916","0.3","0.3","0.3","916","916","916","0","0","0"
"0.16","","","","","","","523","523","523","0.1125","0.1125","0.1125","1047","1047","1047","0","0","0","1047","1047","1047","0.025","0.025","0.025","","","","","","","523","523","523","0.1375","0.1375","0.1375","1047","1047","1047","0.025","0.025","0.025","1047","1047","1047","0","0","0"
"0.17964071856287425","392","392","392","0.05000000074505806","0.05000000074505806","0.05000000074505806","","","","","","","","","","","","","","","","","","","392","392","392","0.05833333432674408","0.05833333432674408","0.05833333432674408","","","","","","","","","","","","","","","","","",""
"0.18","","","","","","","","","","","","","1178","1178","1178","0","0","0","1178","1178","1178","0.075","0.075","0.075","","","","","","","","","","","","","1178","1178","1178","0.125","0.125","0.125","1178","1178","1178","0","0","0"
"0.2","","","","","","","654","654","654","0.0625","0.0625","0.0625","1309","1309","1309","0","0","0","1309","1309","1309","0.025","0.025","0.025","","","","","","","654","654","654","0.075","0.075","0.075","1309","1309","1309","0","0","0","1309","1309","1309","0","0","0"
"0.22","","","","","","","","","","","","","1440","1440","1440","0","0","0","1440","1440","1440","0.075","0.075","0.075","","","","","","","","","","","","","1440","1440","1440","0.1","0.1","0.1","1440","1440","1440","0","0","0"
"0.23952095808383234","523","523","523","0.04166666716337204","0.04166666716337204","0.04166666716337204","","","","","","","","","","","","","","","","","","","523","523","523","0.00833333358168602","0.00833333358168602","0.00833333358168602","","","","","","","","","","","","","","","","","",""
"0.24","","","","","","","785","785","785","0.0875","0.0875","0.0875","1571","1571","1571","0","0","0","1571","1571","1571","0.05","0.05","0.05","","","","","","","785","785","785","0.075","0.075","0.075","1571","1571","1571","0.1","0.1","0.1","1571","1571","1571","0","0","0"
"0.26","","","","","","","","","","","","","1702","1702","1702","0","0","0","1702","1702","1702","0.025","0.025","0.025","","","","","","","","","","","","","1702","1702","1702","0.1","0.1","0.1","1702","1702","1702","0","0","0"
"0.28","","","","","","","916","916","916","0.1125","0.1125","0.1125","1833","1833","1833","0","0","0","1833","1833","1833","0.125","0.125","0.125","","","","","","","916","916","916","0.1","0.1","0.1","1833","1833","1833","0.075","0.075","0.075","1833","1833","1833","0","0","0"
"0.2994011976047904","654","654","654","0.04166666716337204","0.04166666716337204","0.04166666716337204","","","","","","","","","","","","","","","","","","","654","654","654","0.01666666716337204","0.01666666716337204","0.01666666716337204","","","","","","","","","","","","","","","","","",""
"0.3","","","","","","","","","","","","","1964","1964","1964","0","0","0","1964","1964","1964","0","0","0","","","","","","","","","","","","","1964","1964","1964","0","0","0","1964","1964","1964","0","0","0"
