"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/reward","Qwen/Qwen3-32B-low-format - train/reward__MIN","Qwen/Qwen3-32B-low-format - train/reward__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/reward","Qwen/Qwen3-14B-low-format - train/reward__MIN","Qwen/Qwen3-14B-low-format - train/reward__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/reward","Qwen/Qwen3-0.6B-low-format - train/reward__MIN","Qwen/Qwen3-0.6B-low-format - train/reward__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/reward","Qwen/Qwen3-4B-low-format - train/reward__MIN","Qwen/Qwen3-4B-low-format - train/reward__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/reward","Qwen/Qwen3-32B - train/reward__MIN","Qwen/Qwen3-32B - train/reward__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/reward","Qwen/Qwen3-14B - train/reward__MIN","Qwen/Qwen3-14B - train/reward__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/reward","Qwen/Qwen3-4B - train/reward__MIN","Qwen/Qwen3-4B - train/reward__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/reward","Qwen/Qwen3-0.6B - train/reward__MIN","Qwen/Qwen3-0.6B - train/reward__MAX"
"0.02","","","","","","","","","","","","","130","130","130","0.3075000047683716","0.3075000047683716","0.3075000047683716","130","130","130","0.3937500089406967","0.3937500089406967","0.3937500089406967","","","","","","","","","","","","","130","130","130","0.9312500119209289","0.9312500119209289","0.9312500119209289","130","130","130","0.8100000262260437","0.8100000262260437","0.8100000262260437"
"0.04","","","","","","","130","130","130","0.3666250169277191","0.3666250169277191","0.3666250169277191","261","261","261","0.28475000709295273","0.28475000709295273","0.28475000709295273","261","261","261","0.3807500064373016","0.3807500064373016","0.3807500064373016","","","","","","","130","130","130","0.9175000071525574","0.9175000071525574","0.9175000071525574","261","261","261","0.9325000166893005","0.9325000166893005","0.9325000166893005","261","261","261","0.8312500238418579","0.8312500238418579","0.8312500238418579"
"0.059880239520958084","130","130","130","0.31616667807102206","0.31616667807102206","0.31616667807102206","","","","","","","","","","","","","","","","","","","130","130","130","0.7566666901111603","0.7566666901111603","0.7566666901111603","","","","","","","","","","","","","","","","","",""
"0.06","","","","","","","","","","","","","392","392","392","0.2625","0.2625","0.2625","392","392","392","0.37100000977516173","0.37100000977516173","0.37100000977516173","","","","","","","","","","","","","392","392","392","0.9300000190734863","0.9300000190734863","0.9300000190734863","392","392","392","0.7687500238418579","0.7687500238418579","0.7687500238418579"
"0.08","","","","","","","261","261","261","0.3768750101327896","0.3768750101327896","0.3768750101327896","523","523","523","0.297500005364418","0.297500005364418","0.297500005364418","523","523","523","0.33850001394748686","0.33850001394748686","0.33850001394748686","","","","","","","261","261","261","0.8725000262260437","0.8725000262260437","0.8725000262260437","523","523","523","0.9075000047683716","0.9075000047683716","0.9075000047683716","523","523","523","0.8312500238418579","0.8312500238418579","0.8312500238418579"
"0.1","","","","","","","","","","","","","654","654","654","0.2950000002980232","0.2950000002980232","0.2950000002980232","654","654","654","0.37225001454353335","0.37225001454353335","0.37225001454353335","","","","","","","","","","","","","654","654","654","0.9137500166893006","0.9137500166893006","0.9137500166893006","654","654","654","0.8125000238418579","0.8125000238418579","0.8125000238418579"
"0.11976047904191617","261","261","261","0.3199166804552078","0.3199166804552078","0.3199166804552078","","","","","","","","","","","","","","","","","","","261","261","261","0.7550000250339508","0.7550000250339508","0.7550000250339508","","","","","","","","","","","","","","","","","",""
"0.12","","","","","","","392","392","392","0.3553750067949295","0.3553750067949295","0.3553750067949295","785","785","785","0.3050000011920929","0.3050000011920929","0.3050000011920929","785","785","785","0.35075001418590546","0.35075001418590546","0.35075001418590546","","","","","","","392","392","392","0.8668750047683715","0.8668750047683715","0.8668750047683715","785","785","785","0.9375000119209289","0.9375000119209289","0.9375000119209289","785","785","785","0.8437500238418579","0.8437500238418579","0.8437500238418579"
"0.14","","","","","","","","","","","","","916","916","916","0.3197500005364418","0.3197500005364418","0.3197500005364418","916","916","916","0.48300001621246336","0.48300001621246336","0.48300001621246336","","","","","","","","","","","","","916","916","916","0.9625000119209289","0.9625000119209289","0.9625000119209289","916","916","916","0.8250000238418579","0.8250000238418579","0.8250000238418579"
"0.16","","","","","","","523","523","523","0.4042500197887421","0.4042500197887421","0.4042500197887421","1047","1047","1047","0.28999999910593033","0.28999999910593033","0.28999999910593033","1047","1047","1047","0.3487500101327896","0.3487500101327896","0.3487500101327896","","","","","","","523","523","523","0.8725000143051147","0.8725000143051147","0.8725000143051147","1047","1047","1047","0.8887500166893005","0.8887500166893005","0.8887500166893005","1047","1047","1047","0.7687500238418579","0.7687500238418579","0.7687500238418579"
"0.17964071856287425","392","392","392","0.34016668498516084","0.34016668498516084","0.34016668498516084","","","","","","","","","","","","","","","","","","","392","392","392","0.7595833659172058","0.7595833659172058","0.7595833659172058","","","","","","","","","","","","","","","","","",""
"0.18","","","","","","","","","","","","","1178","1178","1178","0.2674999997019768","0.2674999997019768","0.2674999997019768","1178","1178","1178","0.40450001060962676","0.40450001060962676","0.40450001060962676","","","","","","","","","","","","","1178","1178","1178","1.0012500047683717","1.0012500047683717","1.0012500047683717","1178","1178","1178","0.7812500238418579","0.7812500238418579","0.7812500238418579"
"0.2","","","","","","","654","654","654","0.37412501871585846","0.37412501871585846","0.37412501871585846","1309","1309","1309","0.31500000804662703","0.31500000804662703","0.31500000804662703","1309","1309","1309","0.3752500146627426","0.3752500146627426","0.3752500146627426","","","","","","","654","654","654","0.8993750154972077","0.8993750154972077","0.8993750154972077","1309","1309","1309","0.9825000286102294","0.9825000286102294","0.9825000286102294","1309","1309","1309","0.8625000238418579","0.8625000238418579","0.8625000238418579"
"0.22","","","","","","","","","","","","","1440","1440","1440","0.2950000032782555","0.2950000032782555","0.2950000032782555","1440","1440","1440","0.3995000123977661","0.3995000123977661","0.3995000123977661","","","","","","","","","","","","","1440","1440","1440","1.0062500178813933","1.0062500178813933","1.0062500178813933","1440","1440","1440","0.8312500238418579","0.8312500238418579","0.8312500238418579"
"0.23952095808383234","523","523","523","0.32883335947990416","0.32883335947990416","0.32883335947990416","","","","","","","","","","","","","","","","","","","523","523","523","0.7470833659172058","0.7470833659172058","0.7470833659172058","","","","","","","","","","","","","","","","","",""
"0.24","","","","","","","785","785","785","0.4096250206232071","0.4096250206232071","0.4096250206232071","1571","1571","1571","0.30750000327825544","0.30750000327825544","0.30750000327825544","1571","1571","1571","0.41250001788139345","0.41250001788139345","0.41250001788139345","","","","","","","785","785","785","0.9531250119209289","0.9531250119209289","0.9531250119209289","1571","1571","1571","1.0062500178813933","1.0062500178813933","1.0062500178813933","1571","1571","1571","0.8500000238418579","0.8500000238418579","0.8500000238418579"
"0.26","","","","","","","","","","","","","1702","1702","1702","0.310000005364418","0.310000005364418","0.310000005364418","1702","1702","1702","0.3900000125169754","0.3900000125169754","0.3900000125169754","","","","","","","","","","","","","1702","1702","1702","1.025000023841858","1.025000023841858","1.025000023841858","1702","1702","1702","0.8625000238418579","0.8625000238418579","0.8625000238418579"
"0.28","","","","","","","916","916","916","0.41787500083446505","0.41787500083446505","0.41787500083446505","1833","1833","1833","0.310000005364418","0.310000005364418","0.310000005364418","1833","1833","1833","0.4277500107884407","0.4277500107884407","0.4277500107884407","","","","","","","916","916","916","0.9550000190734863","0.9550000190734863","0.9550000190734863","1833","1833","1833","0.9962500154972076","0.9962500154972076","0.9962500154972076","1833","1833","1833","0.8312500238418579","0.8312500238418579","0.8312500238418579"
"0.2994011976047904","654","654","654","0.32783334255218505","0.32783334255218505","0.32783334255218505","","","","","","","","","","","","","","","","","","","654","654","654","0.7583333551883698","0.7583333551883698","0.7583333551883698","","","","","","","","","","","","","","","","","",""
"0.3","","","","","","","","","","","","","1964","1964","1964","0.2825000032782555","0.2825000032782555","0.2825000032782555","1964","1964","1964","0.35925001800060274","0.35925001800060274","0.35925001800060274","","","","","","","","","","","","","1964","1964","1964","0.9950000226497651","0.9950000226497651","0.9950000226497651","1964","1964","1964","0.8500000238418579","0.8500000238418579","0.8500000238418579"
"0.32","","","","","","","1047","1047","1047","0.4106250196695328","0.4106250196695328","0.4106250196695328","2095","2095","2095","0.3142500013113022","0.3142500013113022","0.3142500013113022","2095","2095","2095","0.47625001668930056","0.47625001668930056","0.47625001668930056","","","","","","","1047","1047","1047","1.0018750369548797","1.0018750369548797","1.0018750369548797","2095","2095","2095","0.9612500190734863","0.9612500190734863","0.9612500190734863","2095","2095","2095","0.8437500238418579","0.8437500238418579","0.8437500238418579"
"0.34","","","","","","","","","","","","","2226","2226","2226","0.3469999998807907","0.3469999998807907","0.3469999998807907","2226","2226","2226","0.44075001776218414","0.44075001776218414","0.44075001776218414","","","","","","","","","","","","","2226","2226","2226","1.0350000262260437","1.0350000262260437","1.0350000262260437","2226","2226","2226","0.8500000238418579","0.8500000238418579","0.8500000238418579"
"0.3592814371257485","785","785","785","0.3860000282526016","0.3860000282526016","0.3860000282526016","","","","","","","","","","","","","","","","","","","785","785","785","0.777916693687439","0.777916693687439","0.777916693687439","","","","","","","","","","","","","","","","","",""
"0.36","","","","","","","1178","1178","1178","0.4395000159740448","0.4395000159740448","0.4395000159740448","2357","2357","2357","0.34950000047683716","0.34950000047683716","0.34950000047683716","2357","2357","2357","0.3772500082850456","0.3772500082850456","0.3772500082850456","","","","","","","1178","1178","1178","0.9612500190734863","0.9612500190734863","0.9612500190734863","2357","2357","2357","0.9300000071525574","0.9300000071525574","0.9300000071525574","2357","2357","2357","0.8412500262260437","0.8412500262260437","0.8412500262260437"
"0.38","","","","","","","","","","","","","2488","2488","2488","0.3100000023841858","0.3100000023841858","0.3100000023841858","2488","2488","2488","0.3722500175237656","0.3722500175237656","0.3722500175237656","","","","","","","","","","","","","2488","2488","2488","1.0362500250339508","1.0362500250339508","1.0362500250339508","2488","2488","2488","0.8437500238418579","0.8437500238418579","0.8437500238418579"
"0.4","","","","","","","1309","1309","1309","0.4270000159740448","0.4270000159740448","0.4270000159740448","2619","2619","2619","0.3125000074505806","0.3125000074505806","0.3125000074505806","2619","2619","2619","0.3767500162124634","0.3767500162124634","0.3767500162124634","","","","","","","1309","1309","1309","1.001250034570694","1.001250034570694","1.001250034570694","2619","2619","2619","0.9762500166893006","0.9762500166893006","0.9762500166893006","2619","2619","2619","0.8312500238418579","0.8312500238418579","0.8312500238418579"
"0.41916167664670656","916","916","916","0.38091668486595154","0.38091668486595154","0.38091668486595154","","","","","","","","","","","","","","","","","","","916","916","916","0.7929166734218598","0.7929166734218598","0.7929166734218598","","","","","","","","","","","","","","","","","",""
"0.42","","","","","","","","","","","","","2750","2750","2750","0.33500000834465027","0.33500000834465027","0.33500000834465027","2750","2750","2750","0.41075000166893005","0.41075000166893005","0.41075000166893005","","","","","","","","","","","","","2750","2750","2750","0.9812500238418579","0.9812500238418579","0.9812500238418579","2750","2750","2750","0.8625000238418579","0.8625000238418579","0.8625000238418579"
"0.44","","","","","","","1440","1440","1440","0.4272500276565552","0.4272500276565552","0.4272500276565552","2881","2881","2881","0.31500001102685926","0.31500001102685926","0.31500001102685926","2881","2881","2881","0.3547500163316727","0.3547500163316727","0.3547500163316727","","","","","","","1440","1440","1440","0.9981250286102294","0.9981250286102294","0.9981250286102294","2881","2881","2881","1.0162500262260437","1.0162500262260437","1.0162500262260437","2881","2881","2881","0.8750000238418579","0.8750000238418579","0.8750000238418579"
"0.46","","","","","","","","","","","","","3012","3012","3012","0.30000000149011613","0.30000000149011613","0.30000000149011613","3012","3012","3012","0.4087500095367432","0.4087500095367432","0.4087500095367432","","","","","","","","","","","","","3012","3012","3012","0.9837500214576721","0.9837500214576721","0.9837500214576721","3012","3012","3012","0.8562500238418579","0.8562500238418579","0.8562500238418579"
"0.47904191616766467","1047","1047","1047","0.34625002145767214","0.34625002145767214","0.34625002145767214","","","","","","","","","","","","","","","","","","","1047","1047","1047","0.7875000178813935","0.7875000178813935","0.7875000178813935","","","","","","","","","","","","","","","","","",""
"0.48","","","","","","","1571","1571","1571","0.40350001156330106","0.40350001156330106","0.40350001156330106","3143","3143","3143","0.3075000047683716","0.3075000047683716","0.3075000047683716","3143","3143","3143","0.3890000179409981","0.3890000179409981","0.3890000179409981","","","","","","","1571","1571","1571","1.0337500333786012","1.0337500333786012","1.0337500333786012","3143","3143","3143","1.0462500154972076","1.0462500154972076","1.0462500154972076","3143","3143","3143","0.8437500238418579","0.8437500238418579","0.8437500238418579"
"0.5","","","","","","","","","","","","","3274","3274","3274","0.38900000154972075","0.38900000154972075","0.38900000154972075","3274","3274","3274","0.47250000238418577","0.47250000238418577","0.47250000238418577","","","","","","","","","","","","","3274","3274","3274","0.9687500178813935","0.9687500178813935","0.9687500178813935","3274","3274","3274","0.8762500286102295","0.8762500286102295","0.8762500286102295"
"0.52","","","","","","","1702","1702","1702","0.5317500203847885","0.5317500203847885","0.5317500203847885","3405","3405","3405","0.3050000071525574","0.3050000071525574","0.3050000071525574","3405","3405","3405","0.38400000631809234","0.38400000631809234","0.38400000631809234","","","","","","","1702","1702","1702","0.9893750250339508","0.9893750250339508","0.9893750250339508","3405","3405","3405","0.9825000107288361","0.9825000107288361","0.9825000107288361","3405","3405","3405","0.8787500262260437","0.8787500262260437","0.8787500262260437"
"0.5389221556886228","1178","1178","1178","0.4029166877269745","0.4029166877269745","0.4029166877269745","","","","","","","","","","","","","","","","","","","1178","1178","1178","0.806250023841858","0.806250023841858","0.806250023841858","","","","","","","","","","","","","","","","","",""
"0.54","","","","","","","","","","","","","3536","3536","3536","0.30750000178813935","0.30750000178813935","0.30750000178813935","3536","3536","3536","0.3147500053048134","0.3147500053048134","0.3147500053048134","","","","","","","","","","","","","3536","3536","3536","0.9350000143051147","0.9350000143051147","0.9350000143051147","3536","3536","3536","0.8812500238418579","0.8812500238418579","0.8812500238418579"
"0.56","","","","","","","1833","1833","1833","0.42662501633167266","0.42662501633167266","0.42662501633167266","3667","3667","3667","0.31250000596046446","0.31250000596046446","0.31250000596046446","3667","3667","3667","0.3572500169277191","0.3572500169277191","0.3572500169277191","","","","","","","1833","1833","1833","0.9643750309944152","0.9643750309944152","0.9643750309944152","3667","3667","3667","0.9500000238418579","0.9500000238418579","0.9500000238418579","3667","3667","3667","0.8562500238418579","0.8562500238418579","0.8562500238418579"
"0.58","","","","","","","","","","","","","3798","3798","3798","0.3050000011920929","0.3050000011920929","0.3050000011920929","3798","3798","3798","0.5005000203847885","0.5005000203847885","0.5005000203847885","","","","","","","","","","","","","3798","3798","3798","1.0425000190734863","1.0425000190734863","1.0425000190734863","3798","3798","3798","0.8500000238418579","0.8500000238418579","0.8500000238418579"
