"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-32B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-14B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-0.6B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-4B-low-format - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-32B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-14B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-4B - train/rewards/reward_starts_and_ends/mean__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean__MIN","Qwen/Qwen3-0.6B - train/rewards/reward_starts_and_ends/mean__MAX"
"0.02","","","","","","","","","","","","","130","130","130","0.325","0.325","0.325","130","130","130","0.9","0.9","0.9","","","","","","","","","","","","","130","130","130","0.875","0.875","0.875","130","130","130","0.275","0.275","0.275"
"0.04","","","","","","","130","130","130","0.9","0.9","0.9","261","261","261","0.35","0.35","0.35","261","261","261","0.825","0.825","0.825","","","","","","","130","130","130","0.9","0.9","0.9","261","261","261","0.9","0.9","0.9","261","261","261","0.2","0.2","0.2"
"0.059880239520958084","130","130","130","0.85","0.85","0.85","","","","","","","","","","","","","","","","","","","130","130","130","0.8416666686534882","0.8416666686534882","0.8416666686534882","","","","","","","","","","","","","","","","","",""
"0.06","","","","","","","","","","","","","392","392","392","0.15","0.15","0.15","392","392","392","0.9","0.9","0.9","","","","","","","","","","","","","392","392","392","0.875","0.875","0.875","392","392","392","0.125","0.125","0.125"
"0.08","","","","","","","261","261","261","0.8875","0.8875","0.8875","523","523","523","0.3","0.3","0.3","523","523","523","0.875","0.875","0.875","","","","","","","261","261","261","0.85","0.85","0.85","523","523","523","0.95","0.95","0.95","523","523","523","0.275","0.275","0.275"
"0.1","","","","","","","","","","","","","654","654","654","0.175","0.175","0.175","654","654","654","0.85","0.85","0.85","","","","","","","","","","","","","654","654","654","0.85","0.85","0.85","654","654","654","0.15","0.15","0.15"
"0.11976047904191617","261","261","261","0.875","0.875","0.875","","","","","","","","","","","","","","","","","","","261","261","261","0.8916666746139527","0.8916666746139527","0.8916666746139527","","","","","","","","","","","","","","","","","",""
"0.12","","","","","","","392","392","392","0.875","0.875","0.875","785","785","785","0.125","0.125","0.125","785","785","785","0.875","0.875","0.875","","","","","","","392","392","392","0.875","0.875","0.875","785","785","785","0.9","0.9","0.9","785","785","785","0.15","0.15","0.15"
"0.14","","","","","","","","","","","","","916","916","916","0.225","0.225","0.225","916","916","916","0.775","0.775","0.775","","","","","","","","","","","","","916","916","916","0.675","0.675","0.675","916","916","916","0.025","0.025","0.025"
"0.16","","","","","","","523","523","523","0.85","0.85","0.85","1047","1047","1047","0.25","0.25","0.25","1047","1047","1047","0.925","0.925","0.925","","","","","","","523","523","523","0.825","0.825","0.825","1047","1047","1047","0.95","0.95","0.95","1047","1047","1047","0","0","0"
"0.17964071856287425","392","392","392","0.8833333313465118","0.8833333313465118","0.8833333313465118","","","","","","","","","","","","","","","","","","","392","392","392","0.8666666686534882","0.8666666686534882","0.8666666686534882","","","","","","","","","","","","","","","","","",""
"0.18","","","","","","","","","","","","","1178","1178","1178","0.225","0.225","0.225","1178","1178","1178","0.85","0.85","0.85","","","","","","","","","","","","","1178","1178","1178","0.875","0.875","0.875","1178","1178","1178","0.1","0.1","0.1"
"0.2","","","","","","","654","654","654","0.9","0.9","0.9","1309","1309","1309","0.325","0.325","0.325","1309","1309","1309","0.9","0.9","0.9","","","","","","","654","654","654","0.9125","0.9125","0.9125","1309","1309","1309","0.95","0.95","0.95","1309","1309","1309","0.2","0.2","0.2"
"0.22","","","","","","","","","","","","","1440","1440","1440","0.2","0.2","0.2","1440","1440","1440","0.825","0.825","0.825","","","","","","","","","","","","","1440","1440","1440","0.875","0.875","0.875","1440","1440","1440","0.05","0.05","0.05"
"0.23952095808383234","523","523","523","0.8916666686534882","0.8916666686534882","0.8916666686534882","","","","","","","","","","","","","","","","","","","523","523","523","0.9416666626930237","0.9416666626930237","0.9416666626930237","","","","","","","","","","","","","","","","","",""
"0.24","","","","","","","785","785","785","0.9125","0.9125","0.9125","1571","1571","1571","0.35","0.35","0.35","1571","1571","1571","0.95","0.95","0.95","","","","","","","785","785","785","0.9","0.9","0.9","1571","1571","1571","0.9","0.9","0.9","1571","1571","1571","0.1","0.1","0.1"
"0.26","","","","","","","","","","","","","1702","1702","1702","0.375","0.375","0.375","1702","1702","1702","0.975","0.975","0.975","","","","","","","","","","","","","1702","1702","1702","0.9","0.9","0.9","1702","1702","1702","0.15","0.15","0.15"
"0.28","","","","","","","916","916","916","0.875","0.875","0.875","1833","1833","1833","0.425","0.425","0.425","1833","1833","1833","0.725","0.725","0.725","","","","","","","916","916","916","0.8875","0.8875","0.8875","1833","1833","1833","0.9","0.9","0.9","1833","1833","1833","0.025","0.025","0.025"
"0.2994011976047904","654","654","654","0.8666666686534882","0.8666666686534882","0.8666666686534882","","","","","","","","","","","","","","","","","","","654","654","654","0.9583333373069763","0.9583333373069763","0.9583333373069763","","","","","","","","","","","","","","","","","",""
